N,K,S,diameter,averageShortestPathLength,edges
1321,5,C(1321;1;24;270;419;645),6,4.3015151515151517,6605
1321,5,C(1321;1;38;122;250;271),6,4.3015151515151517,6605
1321,5,C(1321;1;39;161;503;526),6,4.3015151515151517,6605
1321,5,C(1321;1;43;314;550;561),6,4.3015151515151517,6605
1321,5,C(1321;1;55;192;319;588),6,4.3015151515151517,6605
1321,5,C(1321;1;71;300;323;592),6,4.3015151515151517,6605
1321,5,C(1321;1;164;216;227;524),6,4.3015151515151517,6605
1321,5,C(1321;1;172;213;581;614),6,4.3015151515151517,6605
1321,5,C(1321;1;202;320;553;591),6,4.3015151515151517,6605
1321,5,C(1321;1;260;412;428;624),6,4.3015151515151517,6605
