N,K,S,diameter,averageShortestPathLength,edges
1199,5,C(1199;1;10;82;288;385),6,4.2053422370617692,5995
1199,5,C(1199;1;11;88;346;547),6,4.2053422370617692,5995
1199,5,C(1199;1;12;91;234;307),6,4.2053422370617692,5995
1199,5,C(1199;1;16;126;214;566),6,4.2053422370617692,5995
1199,5,C(1199;1;17;219;360;432),6,4.2053422370617692,5995
1199,5,C(1199;1;18;94;307;481),6,4.2053422370617692,5995
1199,5,C(1199;1;21;88;169;540),6,4.2053422370617692,5995
1199,5,C(1199;1;21;89;146;431),6,4.2053422370617692,5995
1199,5,C(1199;1;23;87;409;549),6,4.2053422370617692,5995
1199,5,C(1199;1;25;137;496;535),6,4.2053422370617692,5995
1199,5,C(1199;1;34;58;221;261),6,4.2053422370617692,5995
1199,5,C(1199;1;35;324;459;574),6,4.2053422370617692,5995
1199,5,C(1199;1;38;68;237;392),6,4.2053422370617692,5995
1199,5,C(1199;1;43;239;426;496),6,4.2053422370617692,5995
1199,5,C(1199;1;44;372;491;594),6,4.2053422370617692,5995
1199,5,C(1199;1;48;172;501;581),6,4.2053422370617692,5995
1199,5,C(1199;1;52;61;334;422),6,4.2053422370617692,5995
1199,5,C(1199;1;58;204;358;594),6,4.2053422370617692,5995
1199,5,C(1199;1;62;290;513;595),6,4.2053422370617692,5995
1199,5,C(1199;1;62;341;541;585),6,4.2053422370617692,5995
1199,5,C(1199;1;63;139;161;270),6,4.2053422370617692,5995
1199,5,C(1199;1;67;246;301;579),6,4.2053422370617692,5995
1199,5,C(1199;1;69;318;449;554),6,4.2053422370617692,5995
1199,5,C(1199;1;69;409;485;593),6,4.2053422370617692,5995
1199,5,C(1199;1;75;142;463;485),6,4.2053422370617692,5995
1199,5,C(1199;1;76;295;309;417),6,4.2053422370617692,5995
1199,5,C(1199;1;86;136;191;199),6,4.2053422370617692,5995
1199,5,C(1199;1;86;140;147;329),6,4.2053422370617692,5995
1199,5,C(1199;1;89;441;519;551),6,4.2053422370617692,5995
1199,5,C(1199;1;96;119;326;506),6,4.2053422370617692,5995
1199,5,C(1199;1;100;474;492;580),6,4.2053422370617692,5995
1199,5,C(1199;1;110;197;571;579),6,4.2053422370617692,5995
1199,5,C(1199;1;113;126;219;294),6,4.2053422370617692,5995
1199,5,C(1199;1;114;133;147;202),6,4.2053422370617692,5995
1199,5,C(1199;1;120;211;248;561),6,4.2053422370617692,5995
1199,5,C(1199;1;128;164;179;284),6,4.2053422370617692,5995
1199,5,C(1199;1;128;316;333;493),6,4.2053422370617692,5995
1199,5,C(1199;1;131;353;462;557),6,4.2053422370617692,5995
1199,5,C(1199;1;139;271;304;498),6,4.2053422370617692,5995
1199,5,C(1199;1;141;237;295;402),6,4.2053422370617692,5995
1199,5,C(1199;1;156;230;283;326),6,4.2053422370617692,5995
1199,5,C(1199;1;167;269;478;590),6,4.2053422370617692,5995
1199,5,C(1199;1;184;492;529;593),6,4.2053422370617692,5995
1199,5,C(1199;1;192;214;378;523),6,4.2053422370617692,5995
1199,5,C(1199;1;201;305;461;472),6,4.2053422370617692,5995
1199,5,C(1199;1;217;262;280;448),6,4.2053422370617692,5995
1199,5,C(1199;1;217;449;506;555),6,4.2053422370617692,5995
1199,5,C(1199;1;224;290;340;425),6,4.2053422370617692,5995
1199,5,C(1199;1;229;293;429;534),6,4.2053422370617692,5995
1199,5,C(1199;1;234;525;536;561),6,4.2053422370617692,5995
1199,5,C(1199;1;241;343;403;469),6,4.2053422370617692,5995
1199,5,C(1199;1;253;350;374;390),6,4.2053422370617692,5995
1199,5,C(1199;1;261;335;459;570),6,4.2053422370617692,5995
1199,5,C(1199;1;306;461;564;571),6,4.2053422370617692,5995
1199,5,C(1199;1;311;330;478;587),6,4.2053422370617692,5995
