N,K,S,diameter,averageShortestPathLength,edges
727,5,C(727;1;20;262;276;326),5,3.7493112947658402,3635
727,5,C(727;1;21;57;108;312),5,3.7493112947658402,3635
727,5,C(727;1;29;38;194;256),5,3.7493112947658402,3635
727,5,C(727;1;39;71;122;210),5,3.7493112947658402,3635
727,5,C(727;1;45;287;301;326),5,3.7493112947658402,3635
727,5,C(727;1;49;133;240;252),5,3.7493112947658402,3635
727,5,C(727;1;51;82;308;344),5,3.7493112947658402,3635
727,5,C(727;1;89;109;205;277),5,3.7493112947658402,3635
727,5,C(727;1;146;261;285;356),5,3.7493112947658402,3635
727,5,C(727;1;244;252;292;351),5,3.7493112947658402,3635
