N,K,S,diameter,averageShortestPathLength,edges
581,5,C(581;1;8;63;162;184),5,3.5517241379310347,2905
581,5,C(581;1;10;216;222;260),5,3.5517241379310347,2905
581,5,C(581;1;12;88;221;281),5,3.5517241379310347,2905
581,5,C(581;1;16;41;178;231),5,3.5517241379310347,2905
581,5,C(581;1;23;33;185;260),5,3.5517241379310347,2905
581,5,C(581;1;23;125;210;218),5,3.5517241379310347,2905
581,5,C(581;1;24;85;119;198),5,3.5517241379310347,2905
581,5,C(581;1;25;30;201;242),5,3.5517241379310347,2905
581,5,C(581;1;25;33;203;247),5,3.5517241379310347,2905
581,5,C(581;1;25;68;123;158),5,3.5517241379310347,2905
581,5,C(581;1;26;58;94;254),5,3.5517241379310347,2905
581,5,C(581;1;37;104;161;251),5,3.5517241379310347,2905
581,5,C(581;1;54;141;189;207),5,3.5517241379310347,2905
581,5,C(581;1;55;78;114;199),5,3.5517241379310347,2905
581,5,C(581;1;60;101;157;287),5,3.5517241379310347,2905
581,5,C(581;1;67;93;169;181),5,3.5517241379310347,2905
581,5,C(581;1;88;124;147;239),5,3.5517241379310347,2905
581,5,C(581;1;93;101;115;153),5,3.5517241379310347,2905
581,5,C(581;1;93;164;269;287),5,3.5517241379310347,2905
581,5,C(581;1;96;163;181;213),5,3.5517241379310347,2905
581,5,C(581;1;109;179;196;229),5,3.5517241379310347,2905
581,5,C(581;1;121;126;137;173),5,3.5517241379310347,2905
