Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(358; 2, 53)";13;8,92157;716;7733385
"C(358; 4, 73)";13;8,92157;716;7733385
"C(358; 5, 88)";13;8,92157;716;7733385
"C(358; 6, 159)";13;8,92157;716;7733385
"C(358; 8, 33)";13;8,92157;716;7733385
"C(358; 10, 93)";13;8,92157;716;7733385
"C(358; 12, 139)";13;8,92157;716;7733385
"C(358; 13, 14)";13;8,92157;716;7733385
"C(358; 16, 113)";13;8,92157;716;7733385
"C(358; 17, 156)";13;8,92157;716;7733385
"C(358; 18, 119)";13;8,92157;716;7733385
"C(358; 19, 48)";13;8,92157;716;7733385
"C(358; 22, 133)";13;8,92157;716;7733385
"C(358; 24, 99)";13;8,92157;716;7733385
"C(358; 26, 27)";13;8,92157;716;7733385
"C(358; 28, 153)";13;8,92157;716;7733385
"C(358; 30, 79)";13;8,92157;716;7733385
"C(358; 31, 116)";13;8,92157;716;7733385
"C(358; 32, 47)";13;8,92157;716;7733385
"C(358; 34, 173)";13;8,92157;716;7733385
"C(358; 36, 59)";13;8,92157;716;7733385
"C(358; 38, 67)";13;8,92157;716;7733385
"C(358; 39, 42)";13;8,92157;716;7733385
"C(358; 40, 165)";13;8,92157;716;7733385
"C(358; 41, 66)";13;8,92157;716;7733385
"C(358; 44, 87)";13;8,92157;716;7733385
"C(358; 45, 76)";13;8,92157;716;7733385
"C(358; 46, 145)";13;8,92157;716;7733385
"C(358; 50, 107)";13;8,92157;716;7733385
"C(358; 52, 125)";13;8,92157;716;7733385
"C(358; 55, 106)";13;8,92157;716;7733385
"C(358; 56, 127)";13;8,92157;716;7733385
"C(358; 57, 144)";13;8,92157;716;7733385
"C(358; 58, 105)";13;8,92157;716;7733385
"C(358; 61, 72)";13;8,92157;716;7733385
"C(358; 62, 147)";13;8,92157;716;7733385
"C(358; 64, 85)";13;8,92157;716;7733385
"C(358; 65, 70)";13;8,92157;716;7733385
"C(358; 68, 167)";13;8,92157;716;7733385
"C(358; 71, 104)";13;8,92157;716;7733385
"C(358; 74, 171)";13;8,92157;716;7733385
"C(358; 75, 112)";13;8,92157;716;7733385
"C(358; 77, 138)";13;8,92157;716;7733385
"C(358; 78, 81)";13;8,92157;716;7733385
"C(358; 80, 151)";13;8,92157;716;7733385
"C(358; 83, 172)";13;8,92157;716;7733385
"C(358; 84, 101)";13;8,92157;716;7733385
"C(358; 86, 131)";13;8,92157;716;7733385
"C(358; 89, 152)";13;8,92157;716;7733385
"C(358; 90, 121)";13;8,92157;716;7733385
"C(358; 91, 98)";13;8,92157;716;7733385
"C(358; 92, 111)";13;8,92157;716;7733385
"C(358; 95, 118)";13;8,92157;716;7733385
"C(358; 96, 141)";13;8,92157;716;7733385
"C(358; 97, 132)";13;8,92157;716;7733385
"C(358; 102, 161)";13;8,92157;716;7733385
"C(358; 103, 166)";13;8,92157;716;7733385
"C(358; 108, 177)";13;8,92157;716;7733385
"C(358; 109, 158)";13;8,92157;716;7733385
"C(358; 114, 157)";13;8,92157;716;7733385
"C(358; 115, 124)";13;8,92157;716;7733385
"C(358; 117, 126)";13;8,92157;716;7733385
"C(358; 120, 137)";13;8,92157;716;7733385
"C(358; 123, 160)";13;8,92157;716;7733385
"C(358; 129, 164)";13;8,92157;716;7733385
"C(358; 130, 135)";13;8,92157;716;7733385
"C(358; 136, 155)";13;8,92157;716;7733385
"C(358; 142, 175)";13;8,92157;716;7733385
"C(358; 143, 154)";13;8,92157;716;7733385
"C(358; 148, 163)";13;8,92157;716;7733385
"C(358; 149, 170)";13;8,92157;716;7733385
"C(358; 169, 176)";13;8,92157;716;7733385
