Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(173; 1, 51)";9;6,2093;346;574506
"C(173; 1, 78)";9;6,2093;346;574506
"C(173; 3, 20)";9;6,2093;346;574506
"C(173; 3, 61)";9;6,2093;346;574506
"C(173; 4, 31)";9;6,2093;346;574506
"C(173; 5, 44)";9;6,2093;346;574506
"C(173; 6, 40)";9;6,2093;346;574506
"C(173; 7, 11)";9;6,2093;346;574506
"C(173; 7, 27)";9;6,2093;346;574506
"C(173; 8, 62)";9;6,2093;346;574506
"C(173; 9, 10)";9;6,2093;346;574506
"C(173; 9, 60)";9;6,2093;346;574506
"C(173; 12, 71)";9;6,2093;346;574506
"C(173; 13, 24)";9;6,2093;346;574506
"C(173; 13, 29)";9;6,2093;346;574506
"C(173; 14, 22)";9;6,2093;346;574506
"C(173; 14, 54)";9;6,2093;346;574506
"C(173; 15, 41)";9;6,2093;346;574506
"C(173; 16, 37)";9;6,2093;346;574506
"C(173; 16, 49)";9;6,2093;346;574506
"C(173; 17, 58)";9;6,2093;346;574506
"C(173; 18, 20)";9;6,2093;346;574506
"C(173; 18, 53)";9;6,2093;346;574506
"C(173; 19, 69)";9;6,2093;346;574506
"C(173; 19, 75)";9;6,2093;346;574506
"C(173; 21, 33)";9;6,2093;346;574506
"C(173; 21, 81)";9;6,2093;346;574506
"C(173; 22, 84)";9;6,2093;346;574506
"C(173; 23, 38)";9;6,2093;346;574506
"C(173; 23, 64)";9;6,2093;346;574506
"C(173; 24, 31)";9;6,2093;346;574506
"C(173; 25, 64)";9;6,2093;346;574506
"C(173; 26, 48)";9;6,2093;346;574506
"C(173; 26, 58)";9;6,2093;346;574506
"C(173; 27, 30)";9;6,2093;346;574506
"C(173; 28, 44)";9;6,2093;346;574506
"C(173; 28, 65)";9;6,2093;346;574506
"C(173; 30, 82)";9;6,2093;346;574506
"C(173; 32, 75)";9;6,2093;346;574506
"C(173; 33, 47)";9;6,2093;346;574506
"C(173; 35, 38)";9;6,2093;346;574506
"C(173; 35, 55)";9;6,2093;346;574506
"C(173; 36, 40)";9;6,2093;346;574506
"C(173; 36, 67)";9;6,2093;346;574506
"C(173; 37, 55)";9;6,2093;346;574506
"C(173; 39, 72)";9;6,2093;346;574506
"C(173; 41, 84)";9;6,2093;346;574506
"C(173; 42, 66)";9;6,2093;346;574506
"C(173; 43, 56)";9;6,2093;346;574506
"C(173; 45, 46)";9;6,2093;346;574506
"C(173; 45, 50)";9;6,2093;346;574506
"C(173; 46, 76)";9;6,2093;346;574506
"C(173; 48, 62)";9;6,2093;346;574506
"C(173; 49, 77)";9;6,2093;346;574506
"C(173; 52, 57)";9;6,2093;346;574506
"C(173; 52, 77)";9;6,2093;346;574506
"C(173; 53, 65)";9;6,2093;346;574506
"C(173; 54, 60)";9;6,2093;346;574506
"C(173; 56, 85)";9;6,2093;346;574506
"C(173; 59, 68)";9;6,2093;346;574506
"C(173; 59, 69)";9;6,2093;346;574506
"C(173; 61, 86)";9;6,2093;346;574506
"C(173; 63, 70)";9;6,2093;346;574506
"C(173; 63, 74)";9;6,2093;346;574506
"C(173; 66, 79)";9;6,2093;346;574506
"C(173; 70, 76)";9;6,2093;346;574506
"C(173; 72, 80)";9;6,2093;346;574506
"C(173; 73, 83)";9;6,2093;346;574506
"C(173; 81, 83)";9;6,2093;346;574506
