Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Count K; Signature; Diameter; Average distance; Generation time; Number of connections 
401;C(401, 48, 125, 179);7;4.965;609688584;1203
401;C(401, 49, 83, 148);7;4.965;609688584;1203
401;C(401, 49, 145, 184);7;4.965;609688584;1203
401;C(401, 50, 61, 169);7;4.965;609688584;1203
401;C(401, 50, 65, 73);7;4.965;609688584;1203
401;C(401, 50, 87, 131);7;4.965;609688584;1203
401;C(401, 51, 54, 110);7;4.965;609688584;1203
401;C(401, 51, 115, 193);7;4.965;609688584;1203
401;C(401, 52, 108, 173);7;4.965;609688584;1203
401;C(401, 52, 113, 129);7;4.965;609688584;1203
401;C(401, 53, 75, 109);7;4.965;609688584;1203
401;C(401, 53, 123, 200);7;4.965;609688584;1203
401;C(401, 55, 104, 185);7;4.965;609688584;1203
401;C(401, 56, 60, 77);7;4.965;609688584;1203
401;C(401, 56, 79, 142);7;4.965;609688584;1203
401;C(401, 56, 153, 178);7;4.965;609688584;1203
401;C(401, 57, 72, 147);7;4.965;609688584;1203
401;C(401, 58, 85, 188);7;4.965;609688584;1203
401;C(401, 58, 133, 168);7;4.965;609688584;1203
401;C(401, 58, 167, 180);7;4.965;609688584;1203
401;C(401, 59, 78, 162);7;4.965;609688584;1203
401;C(401, 60, 78, 153);7;4.965;609688584;1203
401;C(401, 61, 94, 134);7;4.965;609688584;1203
401;C(401, 62, 118, 160);7;4.965;609688584;1203
401;C(401, 63, 100, 122);7;4.965;609688584;1203
401;C(401, 63, 133, 164);7;4.965;609688584;1203
401;C(401, 63, 139, 141);7;4.965;609688584;1203
401;C(401, 65, 116, 135);7;4.965;609688584;1203
401;C(401, 66, 128, 191);7;4.965;609688584;1203
401;C(401, 66, 179, 196);7;4.965;609688584;1203
401;C(401, 68, 99, 107);7;4.965;609688584;1203
401;C(401, 69, 96, 132);7;4.965;609688584;1203
401;C(401, 69, 191, 196);7;4.965;609688584;1203
401;C(401, 71, 93, 178);7;4.965;609688584;1203
401;C(401, 71, 153, 162);7;4.965;609688584;1203
401;C(401, 72, 99, 152);7;4.965;609688584;1203
401;C(401, 73, 87, 119);7;4.965;609688584;1203
401;C(401, 73, 126, 135);7;4.965;609688584;1203
