Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
531;C(531, 1, 124);16;10.8679;233079372;1062
532;C(532, 1, 220);16;10.8776;230177019;1064
533;C(533, 1, 95);16;10.8872;260234219;1066
534;C(534, 1, 158);16;10.8968;225280674;1068
535;C(535, 1, 62);16;10.9064;259795468;1070
536;C(536, 1, 64);16;10.9159;242652309;1072
537;C(537, 1, 157);16;10.9254;252365765;1074
538;C(538, 1, 94);16;10.9348;242710861;1076
539;C(539, 1, 100);16;10.9442;260869560;1078
540;C(540, 1, 128);16;10.9536;224177214;1080
541;C(541, 1, 168);16;10.963;267530312;1082
542;C(542, 1, 256);16;10.9723;254920314;1084
543;C(543, 1, 31);16;10.9815;255260294;1086
544;C(544, 16, 17);16;10.9908;244086993;1088
545;C(545, 1, 33);16;11;263433104;1090
546;C(546, 1, 256);17;11.011;207850291;1092
547;C(547, 1, 172);17;11.022;242162348;1094
548;C(548, 1, 128);17;11.0329;208062952;1096
549;C(549, 1, 104);17;11.0438;213596269;1098
550;C(550, 1, 98);17;11.0546;202959610;1100
