Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
191;C(191, 1, 20);10;6.52632;3897991;382
192;C(192, 2, 21);10;6.5445;3432980;384
193;C(193, 1, 44);10;6.5625;3983578;386
194;C(194, 1, 42);10;6.58031;3834045;388
195;C(195, 1, 54);10;6.59794;3883309;390
196;C(196, 1, 86);10;6.61538;3863615;392
197;C(197, 1, 23);10;6.63265;4307522;394
198;C(198, 2, 81);10;6.64975;3858420;396
199;C(199, 1, 19);10;6.66667;4449910;398
200;C(200, 1, 19);10;6.68342;4125175;400
201;C(201, 1, 19);10;6.7;4458584;402
202;C(202, 1, 56);10;6.71642;4410805;404
203;C(203, 1, 36);10;6.73267;4813887;406
204;C(204, 1, 38);10;6.74877;4344355;408
205;C(205, 1, 24);10;6.76471;4983238;410
206;C(206, 1, 74);10;6.78049;4774133;412
207;C(207, 1, 18);10;6.79612;5049429;414
208;C(208, 1, 18);10;6.81159;4894363;416
209;C(209, 1, 22);10;6.82692;5494909;418
210;C(210, 1, 20);10;6.84211;5107656;420
211;C(211, 1, 20);10;6.85714;6018031;422
212;C(212, 1, 78);10;6.87204;5484552;424
213;C(213, 1, 59);10;6.88679;5827909;426
214;C(214, 1, 38);10;6.90141;5686407;428
215;C(215, 1, 40);10;6.91589;6318704;430
216;C(216, 1, 58);10;6.93023;5711965;432
217;C(217, 1, 64);10;6.94444;7260860;434
218;C(218, 1, 100);10;6.95853;6600462;436
219;C(219, 1, 19);10;6.97248;6692883;438
220;C(220, 10, 11);10;6.9863;7245601;440
221;C(221, 1, 21);10;7;8561724;442
222;C(222, 1, 100);11;7.0181;7533621;444
223;C(223, 1, 68);11;7.03604;8533592;446
224;C(224, 1, 62);11;7.05381;8002939;448
225;C(225, 1, 40);11;7.07143;8461126;450
226;C(226, 1, 42);11;7.08889;8429674;452
227;C(227, 1, 61);11;7.10619;9337629;454
228;C(228, 1, 82);11;7.12335;8249263;456
229;C(229, 1, 24);11;7.14035;9630770;458
230;C(230, 1, 20);11;7.15721;8878622;460
