Кол-во Образующих; Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Count K; Signature; Diameter; Average distance; Generation time; Number of connections 
650;C(650, 1, 17, 146, 207, 305);5;3.644068;103887564;3250
650;C(650, 1, 19, 44, 154, 184);5;3.644068;103887564;3250
650;C(650, 1, 69, 157, 172, 215);5;3.644068;103887564;3250
650;C(650, 1, 135, 153, 179, 238);5;3.644068;103887564;3250
650;C(650, 1, 166, 195, 205, 266);5;3.644068;103887564;3250
650;C(650, 1, 171, 264, 276, 316);5;3.644068;103887564;3250
