Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(522; 2, 21, 228)";8;5,43954;1566;1990144327
"C(522; 3, 42, 50)";8;5,43954;1566;1990144327
"C(522; 3, 42, 124)";8;5,43954;1566;1990144327
"C(522; 3, 42, 224)";8;5,43954;1566;1990144327
"C(522; 4, 66, 219)";8;5,43954;1566;1990144327
"C(522; 6, 32, 75)";8;5,43954;1566;1990144327
"C(522; 6, 75, 142)";8;5,43954;1566;1990144327
"C(522; 6, 75, 206)";8;5,43954;1566;1990144327
"C(522; 10, 96, 105)";8;5,43954;1566;1990144327
"C(522; 12, 64, 111)";8;5,43954;1566;1990144327
"C(522; 12, 110, 111)";8;5,43954;1566;1990144327
"C(522; 12, 111, 238)";8;5,43954;1566;1990144327
"C(522; 15, 76, 210)";8;5,43954;1566;1990144327
"C(522; 16, 93, 258)";8;5,43954;1566;1990144327
"C(522; 20, 51, 192)";8;5,43954;1566;1990144327
"C(522; 21, 176, 228)";8;5,43954;1566;1990144327
"C(522; 22, 102, 231)";8;5,43954;1566;1990144327
"C(522; 24, 39, 46)";8;5,43954;1566;1990144327
"C(522; 24, 39, 128)";8;5,43954;1566;1990144327
"C(522; 24, 39, 220)";8;5,43954;1566;1990144327
"C(522; 26, 168, 249)";8;5,43954;1566;1990144327
"C(522; 28, 33, 60)";8;5,43954;1566;1990144327
"C(522; 33, 60, 146)";8;5,43954;1566;1990144327
"C(522; 33, 60, 202)";8;5,43954;1566;1990144327
"C(522; 34, 165, 222)";8;5,43954;1566;1990144327
"C(522; 38, 123, 156)";8;5,43954;1566;1990144327
"C(522; 40, 138, 159)";8;5,43954;1566;1990144327
"C(522; 44, 201, 204)";8;5,43954;1566;1990144327
"C(522; 48, 82, 183)";8;5,43954;1566;1990144327
"C(522; 48, 92, 183)";8;5,43954;1566;1990144327
"C(522; 48, 183, 256)";8;5,43954;1566;1990144327
"C(522; 51, 192, 194)";8;5,43954;1566;1990144327
"C(522; 56, 120, 195)";8;5,43954;1566;1990144327
"C(522; 57, 80, 246)";8;5,43954;1566;1990144327
"C(522; 57, 94, 246)";8;5,43954;1566;1990144327
"C(522; 57, 246, 254)";8;5,43954;1566;1990144327
"C(522; 66, 170, 219)";8;5,43954;1566;1990144327
"C(522; 66, 178, 219)";8;5,43954;1566;1990144327
"C(522; 68, 69, 78)";8;5,43954;1566;1990144327
"C(522; 69, 78, 106)";8;5,43954;1566;1990144327
"C(522; 69, 78, 242)";8;5,43954;1566;1990144327
"C(522; 74, 84, 255)";8;5,43954;1566;1990144327
"C(522; 84, 100, 255)";8;5,43954;1566;1990144327
"C(522; 84, 248, 255)";8;5,43954;1566;1990144327
"C(522; 86, 114, 141)";8;5,43954;1566;1990144327
"C(522; 88, 114, 141)";8;5,43954;1566;1990144327
"C(522; 93, 158, 258)";8;5,43954;1566;1990144327
"C(522; 93, 190, 258)";8;5,43954;1566;1990144327
"C(522; 96, 105, 164)";8;5,43954;1566;1990144327
"C(522; 96, 105, 184)";8;5,43954;1566;1990144327
"C(522; 102, 152, 231)";8;5,43954;1566;1990144327
"C(522; 102, 196, 231)";8;5,43954;1566;1990144327
"C(522; 104, 150, 213)";8;5,43954;1566;1990144327
"C(522; 112, 129, 240)";8;5,43954;1566;1990144327
"C(522; 114, 141, 260)";8;5,43954;1566;1990144327
"C(522; 118, 120, 195)";8;5,43954;1566;1990144327
"C(522; 122, 186, 237)";8;5,43954;1566;1990144327
"C(522; 123, 136, 156)";8;5,43954;1566;1990144327
"C(522; 129, 236, 240)";8;5,43954;1566;1990144327
"C(522; 130, 201, 204)";8;5,43954;1566;1990144327
"C(522; 132, 166, 177)";8;5,43954;1566;1990144327
"C(522; 132, 177, 182)";8;5,43954;1566;1990144327
"C(522; 134, 138, 159)";8;5,43954;1566;1990144327
"C(522; 138, 159, 214)";8;5,43954;1566;1990144327
"C(522; 140, 165, 222)";8;5,43954;1566;1990144327
"C(522; 148, 168, 249)";8;5,43954;1566;1990144327
"C(522; 150, 213, 244)";8;5,43954;1566;1990144327
"C(522; 165, 208, 222)";8;5,43954;1566;1990144327
"C(522; 168, 200, 249)";8;5,43954;1566;1990144327
"C(522; 186, 226, 237)";8;5,43954;1566;1990144327
"C(522; 201, 204, 218)";8;5,43954;1566;1990144327
