N,K,S,diameter,averageShortestPathLength,edges
463,5,C(463;1;9;48;147;224),5,3.3593073593073592,2315
463,5,C(463;1;16;69;179;202),5,3.3593073593073592,2315
463,5,C(463;1;18;24;93;107),5,3.3593073593073592,2315
463,5,C(463;1;23;61;186;204),5,3.3593073593073592,2315
463,5,C(463;1;29;98;149;161),5,3.3593073593073592,2315
463,5,C(463;1;31;73;99;184),5,3.3593073593073592,2315
463,5,C(463;1;32;87;159;164),5,3.3593073593073592,2315
463,5,C(463;1;36;45;60;229),5,3.3593073593073592,2315
463,5,C(463;1;41;137;167;194),5,3.3593073593073592,2315
463,5,C(463;1;54;92;115;135),5,3.3593073593073592,2315
463,5,C(463;1;56;79;144;196),5,3.3593073593073592,2315
463,5,C(463;1;63;104;217;222),5,3.3593073593073592,2315
463,5,C(463;1;72;153;180;186),5,3.3593073593073592,2315
463,5,C(463;1;73;124;201;228),5,3.3593073593073592,2315
463,5,C(463;1;78;103;138;149),5,3.3593073593073592,2315
463,5,C(463;1;87;117;192;208),5,3.3593073593073592,2315
463,5,C(463;1;87;132;141;163),5,3.3593073593073592,2315
463,5,C(463;1;90;117;156;225),5,3.3593073593073592,2315
463,5,C(463;1;129;157;209;220),5,3.3593073593073592,2315
463,5,C(463;1;149;174;211;222),5,3.3593073593073592,2315
