N,K,S,diameter,averageShortestPathLength,edges
1417,5,C(1417;1;35;83;336;653),6,4.3742937853107344,7085
1417,5,C(1417;1;60;197;224;245),6,4.3742937853107344,7085
1417,5,C(1417;1;70;216;398;452),6,4.3742937853107344,7085
1417,5,C(1417;1;81;293;362;464),6,4.3742937853107344,7085
1417,5,C(1417;1;87;214;242;352),6,4.3742937853107344,7085
1417,5,C(1417;1;90;144;164;444),6,4.3742937853107344,7085
1417,5,C(1417;1;97;424;451;561),6,4.3742937853107344,7085
1417,5,C(1417;1;114;307;452;665),6,4.3742937853107344,7085
1417,5,C(1417;1;115;246;532;668),6,4.3742937853107344,7085
1417,5,C(1417;1;137;197;239;465),6,4.3742937853107344,7085
1417,5,C(1417;1;150;345;511;670),6,4.3742937853107344,7085
1417,5,C(1417;1;157;265;410;511),6,4.3742937853107344,7085
1417,5,C(1417;1;184;285;502;677),6,4.3742937853107344,7085
1417,5,C(1417;1;217;410;510;645),6,4.3742937853107344,7085
1417,5,C(1417;1;228;385;486;563),6,4.3742937853107344,7085
