N,K,S,diameter,averageShortestPathLength,edges
2049,5,C(2049;1;6;41;314;767),7,4.7509765625000000,10245
2049,5,C(2049;1;23;461;559;774),7,4.7509765625000000,10245
2049,5,C(2049;1;40;179;225;920),7,4.7509765625000000,10245
2049,5,C(2049;1;50;300;581;692),7,4.7509765625000000,10245
2049,5,C(2049;1;75;543;626;762),7,4.7509765625000000,10245
2049,5,C(2049;1;159;538;898;1019),7,4.7509765625000000,10245
2049,5,C(2049;1;187;529;703;927),7,4.7509765625000000,10245
2049,5,C(2049;1;239;261;385;607),7,4.7509765625000000,10245
2049,5,C(2049;1;369;671;900;948),7,4.7509765625000000,10245
2049,5,C(2049;1;390;737;980;1000),7,4.7509765625000000,10245
