N,K,S,diameter,averageShortestPathLength,edges
1303,5,C(1303;1;9;78;179;581),6,4.2887864823348698,6515
1303,5,C(1303;1;19;50;284;477),6,4.2887864823348698,6515
1303,5,C(1303;1;21;174;268;335),6,4.2887864823348698,6515
1303,5,C(1303;1;34;81;273;523),6,4.2887864823348698,6515
1303,5,C(1303;1;45;289;586;598),6,4.2887864823348698,6515
1303,5,C(1303;1;62;78;323;364),6,4.2887864823348698,6515
1303,5,C(1303;1;105;189;339;616),6,4.2887864823348698,6515
1303,5,C(1303;1;112;388;478;536),6,4.2887864823348698,6515
1303,5,C(1303;1;115;123;194;207),6,4.2887864823348698,6515
1303,5,C(1303;1;141;223;327;355),6,4.2887864823348698,6515
1303,5,C(1303;1;225;443;579;599),6,4.2887864823348698,6515
1303,5,C(1303;1;247;279;298;322),6,4.2887864823348698,6515
1303,5,C(1303;1;284;439;522;634),6,4.2887864823348698,6515
1303,5,C(1303;1;368;480;495;546),6,4.2887864823348698,6515
1303,5,C(1303;1;370;450;624;637),6,4.2887864823348698,6515
