N,K,S,diameter,averageShortestPathLength,edges
1029,5,C(1029;1;10;87;326;447),6,4.0505836575875485,5145
1029,5,C(1029;1;48;139;203;428),6,4.0505836575875485,5145
1029,5,C(1029;1;69;91;285;485),6,4.0505836575875485,5145
1029,5,C(1029;1;80;199;467;488),6,4.0505836575875485,5145
1029,5,C(1029;1;103;264;300;379),6,4.0505836575875485,5145
1029,5,C(1029;1;109;139;290;373),6,4.0505836575875485,5145
1029,5,C(1029;1;110;130;145;358),6,4.0505836575875485,5145
1029,5,C(1029;1;113;272;279;301),6,4.0505836575875485,5145
1029,5,C(1029;1;119;157;486;498),6,4.0505836575875485,5145
1029,5,C(1029;1;124;236;466;503),6,4.0505836575875485,5145
1029,5,C(1029;1;141;154;314;496),6,4.0505836575875485,5145
1029,5,C(1029;1;212;220;473;496),6,4.0505836575875485,5145
1029,5,C(1029;1;237;450;464;505),6,4.0505836575875485,5145
