Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
431;C(431, 1, 114);15;9.7907;119079079;862
432;C(432, 2, 33);15;9.80278;105273583;864
433;C(433, 1, 32);15;9.81481;120719331;866
434;C(434, 1, 28);15;9.82679;104119771;868
435;C(435, 1, 28);15;9.83871;115071901;870
436;C(436, 1, 30);15;9.85057;109786549;872
437;C(437, 1, 155);15;9.86239;125601825;874
438;C(438, 1, 136);15;9.87414;106767275;876
439;C(439, 1, 93);15;9.88584;126509295;878
440;C(440, 1, 156);15;9.89749;107035028;880
441;C(441, 3, 56);15;9.90909;103767758;882
442;C(442, 1, 58);15;9.92063;94259895;884
443;C(443, 1, 60);15;9.93213;101436848;886
444;C(444, 1, 94);15;9.94357;88175318;888
445;C(445, 1, 160);15;9.95495;100062481;890
446;C(446, 1, 118);15;9.96629;95012127;892
447;C(447, 1, 33);15;9.97758;99545145;894
448;C(448, 1, 210);15;9.98881;97941617;896
449;C(449, 1, 29);15;10;110610544;898
450;C(450, 1, 29);15;10.0111;95305136;900
451;C(451, 1, 29);15;10.0222;111053489;902
452;C(452, 1, 98);15;10.0333;102439931;904
453;C(453, 1, 84);15;10.0442;107872078;906
454;C(454, 1, 86);15;10.0552;104681417;908
455;C(455, 1, 200);15;10.0661;111380700;910
456;C(456, 1, 164);15;10.0769;100606583;912
457;C(457, 1, 62);15;10.0877;117158052;914
458;C(458, 1, 60);15;10.0985;109978855;916
459;C(459, 1, 87);15;10.1092;113675765;918
460;C(460, 1, 34);15;10.1198;107098287;920
