Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
100;C(100, 1, 18);7;4.73737;311122;200
101;C(101, 1, 30);7;4.76;354876;202
102;C(102, 1, 12);7;4.78218;329992;204
103;C(103, 1, 12);7;4.80392;380297;206
104;C(104, 1, 16);7;4.82524;367225;208
105;C(105, 1, 14);7;4.84615;377783;210
106;C(106, 1, 14);7;4.86667;397328;212
107;C(107, 1, 41);7;4.88679;437378;214
108;C(108, 1, 32);7;4.90654;402311;216
109;C(109, 1, 30);7;4.92593;474072;218
110;C(110, 1, 46);7;4.94495;440862;220
111;C(111, 1, 13);7;4.96364;477235;222
112;C(112, 7, 8);7;4.98198;474628;224
113;C(113, 1, 15);7;5;549812;226
114;C(114, 1, 50);8;5.02655;483831;228
115;C(115, 1, 34);8;5.05263;554784;230
116;C(116, 1, 32);8;5.07826;541363;232
117;C(117, 1, 43);8;5.10345;635049;234
118;C(118, 1, 18);8;5.12821;628498;236
119;C(119, 1, 14);8;5.15254;643041;238
120;C(120, 1, 14);8;5.17647;593136;240
121;C(121, 1, 16);8;5.2;744540;242
122;C(122, 1, 36);8;5.22314;712348;244
123;C(123, 1, 34);8;5.2459;774175;246
124;C(124, 1, 52);8;5.26829;760059;248
125;C(125, 1, 19);8;5.29032;835233;250
126;C(126, 2, 49);8;5.312;763191;252
127;C(127, 1, 15);8;5.33333;903027;254
128;C(128, 1, 15);8;5.35433;843899;256
129;C(129, 1, 15);8;5.375;902459;258
130;C(130, 1, 28);8;5.39535;891170;260
131;C(131, 1, 20);8;5.41538;1000707;262
