Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
132;C(132, 3, 32);8;5.43511;933399;264
133;C(133, 1, 14);8;5.45455;967477;266
134;C(134, 1, 14);8;5.47368;999058;268
135;C(135, 1, 18);8;5.49254;1071165;270
136;C(136, 1, 16);8;5.51111;1079984;272
137;C(137, 1, 16);8;5.52941;1192792;274
138;C(138, 2, 15);8;5.54745;1067265;276
139;C(139, 1, 30);8;5.56522;1238317;278
140;C(140, 1, 32);8;5.58273;1143373;280
141;C(141, 1, 54);8;5.6;1260871;282
142;C(142, 1, 64);8;5.61702;1219060;284
143;C(143, 1, 15);8;5.6338;1304793;286
144;C(144, 8, 9);8;5.65035;1209919;288
145;C(145, 1, 17);8;5.66667;1350805;290
146;C(146, 1, 64);9;5.68966;1380180;292
147;C(147, 1, 54);9;5.71233;1472522;294
148;C(148, 1, 32);9;5.73469;1438186;296
149;C(149, 1, 34);9;5.75676;1523116;298
150;C(150, 2, 21);9;5.77852;1378678;300
