Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
301;C(301, 1, 24);12;8.18667;26806075;602
302;C(302, 1, 92);12;8.19934;24885805;604
303;C(303, 1, 69);12;8.21192;26142274;606
304;C(304, 1, 116);12;8.22442;23911666;608
305;C(305, 1, 46);12;8.23684;24298395;610
306;C(306, 1, 48);12;8.24918;24139175;612
307;C(307, 1, 119);12;8.26144;26283018;614
308;C(308, 1, 72);12;8.27362;23546632;616
309;C(309, 1, 96);12;8.28571;25347817;618
310;C(310, 1, 144);12;8.29773;24031154;620
311;C(311, 1, 23);12;8.30968;26856136;622
312;C(312, 12, 13);12;8.32154;23442704;624
313;C(313, 1, 25);12;8.33333;27326367;626
314;C(314, 1, 144);13;8.34824;25589126;628
315;C(315, 1, 96);13;8.36306;25914520;630
316;C(316, 1, 72);13;8.37778;25775174;632
317;C(317, 1, 114);13;8.39241;28663862;634
318;C(318, 1, 48);13;8.40694;25504250;636
319;C(319, 1, 50);13;8.42138;29327198;638
320;C(320, 1, 124);13;8.43574;26693301;640
321;C(321, 1, 75);13;8.45;28761521;642
322;C(322, 1, 100);13;8.46417;27823610;644
323;C(323, 1, 28);13;8.47826;30892945;646
324;C(324, 1, 24);13;8.49226;27109127;648
325;C(325, 1, 24);13;8.50617;30678596;650
326;C(326, 1, 26);13;8.52;29425034;652
327;C(327, 1, 150);13;8.53374;30701986;654
328;C(328, 1, 100);13;8.5474;29939317;656
329;C(329, 1, 75);13;8.56098;33071717;658
330;C(330, 1, 126);13;8.57447;29060212;660
