Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
401;C(401, 1, 32);14;9.45;71847659;802
402;C(402, 2, 117);14;9.46135;76781933;804
403;C(403, 1, 26);14;9.47264;87984471;806
404;C(404, 1, 26);14;9.48387;78521737;808
405;C(405, 1, 30);14;9.49505;81041227;810
406;C(406, 1, 28);14;9.50617;79800549;812
407;C(407, 1, 28);14;9.51724;87509924;814
408;C(408, 2, 27);14;9.52826;76572723;816
409;C(409, 1, 110);14;9.53922;88313552;818
410;C(410, 2, 115);14;9.55012;79743993;820
411;C(411, 1, 87);14;9.56098;85377088;822
412;C(412, 1, 54);14;9.57178;83518074;824
413;C(413, 1, 56);14;9.58252;90364057;826
414;C(414, 2, 57);14;9.59322;79998966;828
415;C(415, 1, 90);14;9.60386;90589180;830
416;C(416, 1, 110);14;9.61446;78513647;832
417;C(417, 1, 150);14;9.625;79992452;834
418;C(418, 1, 196);14;9.63549;90802250;836
419;C(419, 1, 27);14;9.64593;108684649;838
420;C(420, 14, 15);14;9.65632;94937823;840
421;C(421, 1, 29);14;9.66667;105024280;842
422;C(422, 1, 196);15;9.67933;94404975;844
423;C(423, 1, 150);15;9.69194;103363364;846
424;C(424, 1, 114);15;9.70449;97231983;848
425;C(425, 1, 90);15;9.71698;107836263;850
426;C(426, 2, 63);15;9.72941;98894404;852
427;C(427, 1, 56);15;9.74178;110584142;854
428;C(428, 1, 58);15;9.7541;106759568;856
429;C(429, 1, 93);15;9.76636;98403108;858
430;C(430, 2, 125);15;9.77855;88020458;860
