Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс)
491;C(491, 1, 93);16;10.449;175244351;982
492;C(492, 3, 128);16;10.4603;174003323;984
493;C(493, 1, 155);16;10.4715;200098815;986
494;C(494, 1, 34);16;10.4828;186946194;988
495;C(495, 1, 30);16;10.4939;184056870;990
496;C(496, 1, 30);16;10.5051;186378586;992
497;C(497, 1, 32);16;10.5161;193549188;994
498;C(498, 2, 33);16;10.5272;170493935;996
499;C(499, 1, 132);16;10.5382;193261741;998
500;C(500, 4, 35);16;10.5491;173420745;1000
501;C(501, 1, 93);16;10.56;189741642;1002
502;C(502, 1, 68);16;10.5709;186004776;1004
503;C(503, 1, 66);16;10.5817;202448505;1006
504;C(504, 3, 64);16;10.5924;172759623;1008
505;C(505, 1, 90);16;10.6032;204739949;1010
506;C(506, 1, 136);16;10.6139;196798637;1012
507;C(507, 1, 96);16;10.6245;197605757;1014
508;C(508, 1, 236);16;10.6351;189751243;1016
509;C(509, 1, 35);16;10.6457;209285079;1018
510;C(510, 2, 225);16;10.6562;180194269;1020
