Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
162;C(162, 1, 7, 38, 50, 72);3;2.565217;27838;810
162;C(162, 1, 8, 21, 36, 68);3;2.565217;27838;810
162;C(162, 1, 14, 22, 69, 75);3;2.565217;27838;810
162;C(162, 1, 15, 18, 27, 70);3;2.565217;27838;810
162;C(162, 1, 16, 23, 36, 64);3;2.565217;27838;810
162;C(162, 1, 22, 33, 40, 46);3;2.565217;27838;810
162;C(162, 1, 24, 33, 52, 70);3;2.565217;27838;810
162;C(162, 1, 27, 48, 58, 64);3;2.565217;27838;810
162;C(162, 1, 40, 51, 63, 66);3;2.565217;27838;810
