Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(146; 3, 60, 64)";5;3,50345;438;5639670
"C(146; 4, 14, 29)";5;3,50345;438;5639670
"C(146; 4, 23, 40)";5;3,50345;438;5639670
"C(146; 5, 46, 58)";5;3,50345;438;5639670
"C(146; 6, 7, 52)";5;3,50345;438;5639670
"C(146; 6, 40, 71)";5;3,50345;438;5639670
"C(146; 6, 60, 71)";5;3,50345;438;5639670
"C(146; 8, 15, 28)";5;3,50345;438;5639670
"C(146; 8, 30, 63)";5;3,50345;438;5639670
"C(146; 10, 21, 46)";5;3,50345;438;5639670
"C(146; 10, 37, 38)";5;3,50345;438;5639670
"C(146; 11, 38, 40)";5;3,50345;438;5639670
"C(146; 12, 15, 28)";5;3,50345;438;5639670
"C(146; 12, 26, 69)";5;3,50345;438;5639670
"C(146; 12, 42, 59)";5;3,50345;438;5639670
"C(146; 13, 32, 34)";5;3,50345;438;5639670
"C(146; 14, 16, 19)";5;3,50345;438;5639670
"C(146; 14, 24, 65)";5;3,50345;438;5639670
"C(146; 16, 19, 58)";5;3,50345;438;5639670
"C(146; 16, 43, 56)";5;3,50345;438;5639670
"C(146; 18, 26, 67)";5;3,50345;438;5639670
"C(146; 18, 42, 59)";5;3,50345;438;5639670
"C(146; 20, 31, 36)";5;3,50345;438;5639670
"C(146; 20, 31, 54)";5;3,50345;438;5639670
"C(146; 24, 43, 56)";5;3,50345;438;5639670
"C(146; 24, 45, 62)";5;3,50345;438;5639670
"C(146; 24, 52, 65)";5;3,50345;438;5639670
"C(146; 26, 32, 33)";5;3,50345;438;5639670
"C(146; 26, 33, 70)";5;3,50345;438;5639670
"C(146; 28, 32, 35)";5;3,50345;438;5639670
"C(146; 30, 32, 35)";5;3,50345;438;5639670
"C(146; 36, 45, 62)";5;3,50345;438;5639670
"C(146; 36, 52, 61)";5;3,50345;438;5639670
"C(146; 38, 53, 60)";5;3,50345;438;5639670
"C(146; 39, 44, 50)";5;3,50345;438;5639670
"C(146; 42, 48, 57)";5;3,50345;438;5639670
"C(146; 42, 49, 72)";5;3,50345;438;5639670
"C(146; 44, 54, 55)";5;3,50345;438;5639670
"C(146; 47, 50, 68)";5;3,50345;438;5639670
"C(146; 47, 64, 68)";5;3,50345;438;5639670
"C(146; 51, 66, 70)";5;3,50345;438;5639670
"C(146; 54, 55, 68)";5;3,50345;438;5639670
