N,K,S,diameter,averageShortestPathLength,edges
2321,5,C(2321;1;11;69;281;966),7,4.8784482758620689,11605
2321,5,C(2321;1;14;370;475;572),7,4.8784482758620689,11605
2321,5,C(2321;1;33;215;636;689),7,4.8784482758620689,11605
2321,5,C(2321;1;45;321;608;756),7,4.8784482758620689,11605
2321,5,C(2321;1;94;412;873;887),7,4.8784482758620689,11605
2321,5,C(2321;1;122;157;304;832),7,4.8784482758620689,11605
2321,5,C(2321;1;358;704;795;829),7,4.8784482758620689,11605
2321,5,C(2321;1;378;553;780;920),7,4.8784482758620689,11605
2321,5,C(2321;1;481;657;980;1076),7,4.8784482758620689,11605
