N,K,S,diameter,averageShortestPathLength,edges
1697,5,C(1697;1;10;155;213;489),6,4.5601415094339623,8485
1697,5,C(1697;1;36;438;505;635),6,4.5601415094339623,8485
1697,5,C(1697;1;74;231;486;662),6,4.5601415094339623,8485
1697,5,C(1697;1;191;509;558;833),6,4.5601415094339623,8485
1697,5,C(1697;1;194;244;593;742),6,4.5601415094339623,8485
1697,5,C(1697;1;201;412;584;725),6,4.5601415094339623,8485
1697,5,C(1697;1;269;421;547;648),6,4.5601415094339623,8485
1697,5,C(1697;1;295;330;344;819),6,4.5601415094339623,8485
1697,5,C(1697;1;394;432;762;772),6,4.5601415094339623,8485
1697,5,C(1697;1;591;653;821;831),6,4.5601415094339623,8485
