Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мкс);Кол-во соединений
25;C(25, 1, 3, 10);3;1.83333;1493;75
25;C(25, 1, 5, 8);3;1.83333;1493;75
25;C(25, 2, 5, 6);3;1.83333;1493;75
25;C(25, 2, 9, 10);3;1.83333;1493;75
25;C(25, 3, 5, 9);3;1.83333;1493;75
25;C(25, 4, 5, 7);3;1.83333;1493;75
25;C(25, 4, 10, 12);3;1.83333;1493;75
25;C(25, 5, 11, 12);3;1.83333;1493;75
25;C(25, 6, 7, 10);3;1.83333;1493;75
25;C(25, 8, 10, 11);3;1.83333;1493;75
