Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(229; 1, 8, 50)";6;4,10526;687;53061116
"C(229; 1, 9, 87)";6;4,10526;687;53061116
"C(229; 1, 10, 68)";6;4,10526;687;53061116
"C(229; 1, 10, 97)";6;4,10526;687;53061116
"C(229; 1, 23, 39)";6;4,10526;687;53061116
"C(229; 1, 23, 59)";6;4,10526;687;53061116
"C(229; 1, 47, 64)";6;4,10526;687;53061116
"C(229; 1, 51, 86)";6;4,10526;687;53061116
"C(229; 1, 66, 85)";6;4,10526;687;53061116
