Кол-во вершин;Конфигурация графа;Диаметр;Средний путь;Время (мс);Кол-во соединений
148;C(148, 1, 10, 32, 57, 72);3;2.523809;16468;740
148;C(148, 1, 10, 34, 50, 71);3;2.523809;16468;740
148;C(148, 1, 10, 47, 62, 68);3;2.523809;16468;740
148;C(148, 1, 11, 14, 41, 72);3;2.523809;16468;740
148;C(148, 1, 11, 14, 59, 65);3;2.523809;16468;740
148;C(148, 1, 11, 18, 46, 61);3;2.523809;16468;740
148;C(148, 1, 11, 18, 51, 55);3;2.523809;16468;740
148;C(148, 1, 11, 25, 55, 72);3;2.523809;16468;740
148;C(148, 1, 11, 26, 29, 71);3;2.523809;16468;740
148;C(148, 1, 11, 26, 44, 72);3;2.523809;16468;740
148;C(148, 1, 11, 28, 32, 47);3;2.523809;16468;740
148;C(148, 1, 11, 41, 58, 72);3;2.523809;16468;740
148;C(148, 1, 12, 18, 26, 63);3;2.523809;16468;740
148;C(148, 1, 12, 30, 33, 40);3;2.523809;16468;740
148;C(148, 1, 12, 31, 67, 71);3;2.523809;16468;740
148;C(148, 1, 12, 40, 63, 71);3;2.523809;16468;740
148;C(148, 1, 12, 47, 56, 63);3;2.523809;16468;740
148;C(148, 1, 12, 54, 58, 61);3;2.523809;16468;740
148;C(148, 1, 13, 17, 40, 50);3;2.523809;16468;740
148;C(148, 1, 13, 18, 28, 48);3;2.523809;16468;740
148;C(148, 1, 13, 18, 60, 64);3;2.523809;16468;740
148;C(148, 1, 13, 19, 23, 54);3;2.523809;16468;740
148;C(148, 1, 13, 19, 44, 48);3;2.523809;16468;740
148;C(148, 1, 13, 21, 38, 66);3;2.523809;16468;740
148;C(148, 1, 13, 21, 54, 71);3;2.523809;16468;740
148;C(148, 1, 13, 22, 28, 59);3;2.523809;16468;740
148;C(148, 1, 13, 23, 44, 50);3;2.523809;16468;740
148;C(148, 1, 13, 24, 32, 41);3;2.523809;16468;740
148;C(148, 1, 13, 30, 51, 57);3;2.523809;16468;740
148;C(148, 1, 13, 33, 42, 50);3;2.523809;16468;740
148;C(148, 1, 13, 54, 57, 62);3;2.523809;16468;740
148;C(148, 1, 14, 21, 26, 72);3;2.523809;16468;740
148;C(148, 1, 14, 21, 30, 40);3;2.523809;16468;740
148;C(148, 1, 14, 22, 33, 72);3;2.523809;16468;740
148;C(148, 1, 14, 22, 55, 61);3;2.523809;16468;740
148;C(148, 1, 14, 24, 33, 64);3;2.523809;16468;740
148;C(148, 1, 14, 33, 69, 72);3;2.523809;16468;740
148;C(148, 1, 14, 45, 62, 68);3;2.523809;16468;740
148;C(148, 1, 15, 18, 25, 46);3;2.523809;16468;740
148;C(148, 1, 15, 21, 25, 58);3;2.523809;16468;740
148;C(148, 1, 15, 23, 48, 58);3;2.523809;16468;740
148;C(148, 1, 15, 26, 44, 50);3;2.523809;16468;740
148;C(148, 1, 15, 28, 51, 62);3;2.523809;16468;740
148;C(148, 1, 15, 44, 51, 62);3;2.523809;16468;740
148;C(148, 1, 15, 44, 53, 63);3;2.523809;16468;740
148;C(148, 1, 16, 20, 34, 43);3;2.523809;16468;740
148;C(148, 1, 16, 22, 29, 47);3;2.523809;16468;740
148;C(148, 1, 16, 22, 36, 47);3;2.523809;16468;740
148;C(148, 1, 16, 22, 57, 64);3;2.523809;16468;740
148;C(148, 1, 16, 24, 27, 63);3;2.523809;16468;740
148;C(148, 1, 16, 34, 41, 62);3;2.523809;16468;740
148;C(148, 1, 16, 45, 53, 64);3;2.523809;16468;740
148;C(148, 1, 16, 55, 59, 64);3;2.523809;16468;740
148;C(148, 1, 17, 23, 31, 44);3;2.523809;16468;740
148;C(148, 1, 17, 30, 50, 56);3;2.523809;16468;740
148;C(148, 1, 17, 43, 58, 68);3;2.523809;16468;740
148;C(148, 1, 17, 47, 58, 70);3;2.523809;16468;740
148;C(148, 1, 18, 25, 29, 67);3;2.523809;16468;740
148;C(148, 1, 18, 26, 66, 71);3;2.523809;16468;740
148;C(148, 1, 18, 28, 31, 52);3;2.523809;16468;740
148;C(148, 1, 18, 46, 69, 72);3;2.523809;16468;740
148;C(148, 1, 19, 23, 28, 58);3;2.523809;16468;740
148;C(148, 1, 19, 24, 33, 36);3;2.523809;16468;740
