Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(367; 1, 114)";14;9,02732;734;9126418
"C(367; 2, 103)";14;9,02732;734;9126418
"C(367; 2, 139)";14;9,02732;734;9126418
"C(367; 3, 25)";14;9,02732;734;9126418
"C(367; 3, 29)";14;9,02732;734;9126418
"C(367; 4, 89)";14;9,02732;734;9126418
"C(367; 5, 74)";14;9,02732;734;9126418
"C(367; 6, 50)";14;9,02732;734;9126418
"C(367; 6, 58)";14;9,02732;734;9126418
"C(367; 7, 64)";14;9,02732;734;9126418
"C(367; 8, 45)";14;9,02732;734;9126418
"C(367; 9, 75)";14;9,02732;734;9126418
"C(367; 9, 87)";14;9,02732;734;9126418
"C(367; 10, 39)";14;9,02732;734;9126418
"C(367; 10, 148)";14;9,02732;734;9126418
"C(367; 12, 100)";14;9,02732;734;9126418
"C(367; 12, 116)";14;9,02732;734;9126418
"C(367; 13, 14)";14;9,02732;734;9126418
"C(367; 13, 119)";14;9,02732;734;9126418
"C(367; 14, 128)";14;9,02732;734;9126418
"C(367; 16, 90)";14;9,02732;734;9126418
"C(367; 17, 42)";14;9,02732;734;9126418
"C(367; 17, 103)";14;9,02732;734;9126418
"C(367; 18, 150)";14;9,02732;734;9126418
"C(367; 19, 36)";14;9,02732;734;9126418
"C(367; 19, 61)";14;9,02732;734;9126418
"C(367; 20, 71)";14;9,02732;734;9126418
"C(367; 20, 78)";14;9,02732;734;9126418
"C(367; 21, 164)";14;9,02732;734;9126418
"C(367; 22, 61)";14;9,02732;734;9126418
"C(367; 23, 53)";14;9,02732;734;9126418
"C(367; 23, 100)";14;9,02732;734;9126418
"C(367; 24, 135)";14;9,02732;734;9126418
"C(367; 25, 86)";14;9,02732;734;9126418
"C(367; 26, 28)";14;9,02732;734;9126418
"C(367; 26, 129)";14;9,02732;734;9126418
"C(367; 27, 106)";14;9,02732;734;9126418
"C(367; 27, 142)";14;9,02732;734;9126418
"C(367; 28, 111)";14;9,02732;734;9126418
"C(367; 30, 77)";14;9,02732;734;9126418
"C(367; 30, 117)";14;9,02732;734;9126418
"C(367; 31, 55)";14;9,02732;734;9126418
"C(367; 32, 180)";14;9,02732;734;9126418
"C(367; 33, 92)";14;9,02732;734;9126418
"C(367; 34, 84)";14;9,02732;734;9126418
"C(367; 34, 161)";14;9,02732;734;9126418
"C(367; 35, 47)";14;9,02732;734;9126418
"C(367; 35, 151)";14;9,02732;734;9126418
"C(367; 36, 67)";14;9,02732;734;9126418
"C(367; 37, 113)";14;9,02732;734;9126418
"C(367; 38, 72)";14;9,02732;734;9126418
"C(367; 38, 122)";14;9,02732;734;9126418
"C(367; 39, 42)";14;9,02732;734;9126418
"C(367; 40, 142)";14;9,02732;734;9126418
"C(367; 40, 156)";14;9,02732;734;9126418
"C(367; 41, 93)";14;9,02732;734;9126418
"C(367; 41, 97)";14;9,02732;734;9126418
"C(367; 43, 131)";14;9,02732;734;9126418
"C(367; 44, 122)";14;9,02732;734;9126418
"C(367; 45, 68)";14;9,02732;734;9126418
"C(367; 46, 106)";14;9,02732;734;9126418
"C(367; 46, 167)";14;9,02732;734;9126418
"C(367; 48, 97)";14;9,02732;734;9126418
"C(367; 49, 81)";14;9,02732;734;9126418
"C(367; 49, 138)";14;9,02732;734;9126418
"C(367; 50, 172)";14;9,02732;734;9126418
"C(367; 51, 58)";14;9,02732;734;9126418
"C(367; 51, 126)";14;9,02732;734;9126418
"C(367; 52, 56)";14;9,02732;734;9126418
"C(367; 52, 109)";14;9,02732;734;9126418
"C(367; 53, 170)";14;9,02732;734;9126418
"C(367; 54, 83)";14;9,02732;734;9126418
"C(367; 54, 155)";14;9,02732;734;9126418
"C(367; 56, 145)";14;9,02732;734;9126418
"C(367; 57, 108)";14;9,02732;734;9126418
"C(367; 57, 183)";14;9,02732;734;9126418
"C(367; 59, 81)";14;9,02732;734;9126418
"C(367; 59, 120)";14;9,02732;734;9126418
"C(367; 60, 133)";14;9,02732;734;9126418
"C(367; 60, 154)";14;9,02732;734;9126418
"C(367; 62, 95)";14;9,02732;734;9126418
"C(367; 62, 110)";14;9,02732;734;9126418
"C(367; 63, 125)";14;9,02732;734;9126418
"C(367; 65, 70)";14;9,02732;734;9126418
"C(367; 65, 139)";14;9,02732;734;9126418
"C(367; 66, 183)";14;9,02732;734;9126418
"C(367; 67, 69)";14;9,02732;734;9126418
"C(367; 68, 168)";14;9,02732;734;9126418
"C(367; 69, 159)";14;9,02732;734;9126418
"C(367; 70, 94)";14;9,02732;734;9126418
"C(367; 71, 170)";14;9,02732;734;9126418
"C(367; 72, 134)";14;9,02732;734;9126418
"C(367; 73, 94)";14;9,02732;734;9126418
"C(367; 73, 119)";14;9,02732;734;9126418
"C(367; 74, 141)";14;9,02732;734;9126418
"C(367; 75, 109)";14;9,02732;734;9126418
"C(367; 76, 123)";14;9,02732;734;9126418
"C(367; 76, 144)";14;9,02732;734;9126418
"C(367; 78, 84)";14;9,02732;734;9126418
"C(367; 79, 152)";14;9,02732;734;9126418
"C(367; 80, 83)";14;9,02732;734;9126418
"C(367; 82, 173)";14;9,02732;734;9126418
"C(367; 82, 181)";14;9,02732;734;9126418
"C(367; 85, 148)";14;9,02732;734;9126418
"C(367; 85, 157)";14;9,02732;734;9126418
"C(367; 86, 105)";14;9,02732;734;9126418
"C(367; 87, 107)";14;9,02732;734;9126418
"C(367; 88, 123)";14;9,02732;734;9126418
"C(367; 89, 130)";14;9,02732;734;9126418
"C(367; 90, 136)";14;9,02732;734;9126418
"C(367; 91, 98)";14;9,02732;734;9126418
"C(367; 91, 99)";14;9,02732;734;9126418
"C(367; 92, 155)";14;9,02732;734;9126418
"C(367; 93, 165)";14;9,02732;734;9126418
"C(367; 96, 173)";14;9,02732;734;9126418
"C(367; 98, 162)";14;9,02732;734;9126418
"C(367; 101, 120)";14;9,02732;734;9126418
"C(367; 101, 137)";14;9,02732;734;9126418
"C(367; 102, 115)";14;9,02732;734;9126418
"C(367; 102, 116)";14;9,02732;734;9126418
"C(367; 104, 112)";14;9,02732;734;9126418
"C(367; 104, 149)";14;9,02732;734;9126418
"C(367; 105, 141)";14;9,02732;734;9126418
"C(367; 107, 178)";14;9,02732;734;9126418
"C(367; 108, 166)";14;9,02732;734;9126418
"C(367; 111, 176)";14;9,02732;734;9126418
"C(367; 113, 131)";14;9,02732;734;9126418
"C(367; 114, 151)";14;9,02732;734;9126418
"C(367; 115, 133)";14;9,02732;734;9126418
"C(367; 117, 126)";14;9,02732;734;9126418
"C(367; 118, 127)";14;9,02732;734;9126418
"C(367; 118, 162)";14;9,02732;734;9126418
"C(367; 121, 152)";14;9,02732;734;9126418
"C(367; 124, 147)";14;9,02732;734;9126418
"C(367; 124, 177)";14;9,02732;734;9126418
"C(367; 127, 165)";14;9,02732;734;9126418
"C(367; 129, 146)";14;9,02732;734;9126418
"C(367; 130, 140)";14;9,02732;734;9126418
"C(367; 132, 175)";14;9,02732;734;9126418
"C(367; 134, 138)";14;9,02732;734;9126418
"C(367; 135, 163)";14;9,02732;734;9126418
