N,K,S,diameter,averageShortestPathLength,edges
37,3,C(37;1;4;10),3,2.1666666666666665,111
37,3,C(37;1;4;13),3,2.1666666666666665,111
37,3,C(37;1;4;14),3,2.1666666666666665,111
37,3,C(37;1;4;15),3,2.1666666666666665,111
37,3,C(37;1;5;8),3,2.1666666666666665,111
37,3,C(37;1;5;13),3,2.1666666666666665,111
37,3,C(37;1;5;17),3,2.1666666666666665,111
37,3,C(37;1;6;9),3,2.1666666666666665,111
37,3,C(37;1;6;10),3,2.1666666666666665,111
37,3,C(37;1;6;14),3,2.1666666666666665,111
37,3,C(37;1;6;17),3,2.1666666666666665,111
37,3,C(37;1;7;11),3,2.1666666666666665,111
37,3,C(37;1;7;17),3,2.1666666666666665,111
37,3,C(37;1;8;11),3,2.1666666666666665,111
37,3,C(37;1;9;13),3,2.1666666666666665,111
37,3,C(37;1;9;15),3,2.1666666666666665,111
37,3,C(37;1;9;16),3,2.1666666666666665,111
37,3,C(37;1;10;15),3,2.1666666666666665,111
37,3,C(37;1;11;17),3,2.1666666666666665,111
37,3,C(37;1;13;16),3,2.1666666666666665,111
37,3,C(37;1;13;17),3,2.1666666666666665,111
