N,K,S,diameter,averageShortestPathLength,edges
35,3,C(35;1;4;10),3,2.1176470588235294,105
35,3,C(35;1;4;11),3,2.1176470588235294,105
35,3,C(35;1;4;14),3,2.1176470588235294,105
35,3,C(35;1;5;8),3,2.1176470588235294,105
35,3,C(35;1;5;13),3,2.1176470588235294,105
35,3,C(35;1;5;14),3,2.1176470588235294,105
35,3,C(35;1;5;16),3,2.1176470588235294,105
35,3,C(35;1;6;9),3,2.1176470588235294,105
35,3,C(35;1;6;10),3,2.1176470588235294,105
35,3,C(35;1;6;16),3,2.1176470588235294,105
35,3,C(35;1;7;10),3,2.1176470588235294,105
35,3,C(35;1;7;11),3,2.1176470588235294,105
35,3,C(35;1;7;16),3,2.1176470588235294,105
35,3,C(35;1;9;14),3,2.1176470588235294,105
35,3,C(35;1;9;15),3,2.1176470588235294,105
35,3,C(35;1;11;15),3,2.1176470588235294,105
35,3,C(35;1;11;16),3,2.1176470588235294,105
