N,K,S,diameter,averageShortestPathLength,edges
104,3,C(104;1;8;46),5,3.1262135922330097,312
104,3,C(104;1;9;22),5,3.1262135922330097,312
104,3,C(104;1;10;44),5,3.1262135922330097,312
104,3,C(104;1;13;18),5,3.1262135922330097,312
104,3,C(104;1;13;42),5,3.1262135922330097,312
104,3,C(104;1;14;23),5,3.1262135922330097,312
104,3,C(104;1;14;36),5,3.1262135922330097,312
104,3,C(104;1;17;28),5,3.1262135922330097,312
104,3,C(104;1;18;46),5,3.1262135922330097,312
104,3,C(104;1;20;49),5,3.1262135922330097,312
104,3,C(104;1;22;48),5,3.1262135922330097,312
104,3,C(104;1;30;48),5,3.1262135922330097,312
