N,K,S,diameter,averageShortestPathLength,edges
156,3,C(156;1;10;47),5,3.5806451612903225,468
156,3,C(156;1;11;64),5,3.5806451612903225,468
156,3,C(156;1;12;41),5,3.5806451612903225,468
156,3,C(156;1;19;32),5,3.5806451612903225,468
156,3,C(156;1;19;72),5,3.5806451612903225,468
156,3,C(156;1;20;33),5,3.5806451612903225,468
156,3,C(156;1;20;71),5,3.5806451612903225,468
156,3,C(156;1;25;34),5,3.5806451612903225,468
156,3,C(156;1;25;70),5,3.5806451612903225,468
156,3,C(156;1;32;50),5,3.5806451612903225,468
156,3,C(156;1;41;64),5,3.5806451612903225,468
156,3,C(156;1;50;73),5,3.5806451612903225,468
