N,K,S,diameter,averageShortestPathLength,edges
83,3,C(83;1;6;31),4,2.8780487804878048,249
83,3,C(83;1;6;34),4,2.8780487804878048,249
83,3,C(83;1;7;24),4,2.8780487804878048,249
83,3,C(83;1;7;36),4,2.8780487804878048,249
83,3,C(83;1;8;20),4,2.8780487804878048,249
83,3,C(83;1;8;35),4,2.8780487804878048,249
83,3,C(83;1;11;29),4,2.8780487804878048,249
83,3,C(83;1;12;17),4,2.8780487804878048,249
83,3,C(83;1;12;39),4,2.8780487804878048,249
83,3,C(83;1;14;19),4,2.8780487804878048,249
83,3,C(83;1;14;22),4,2.8780487804878048,249
83,3,C(83;1;15;20),4,2.8780487804878048,249
83,3,C(83;1;16;39),4,2.8780487804878048,249
83,3,C(83;1;17;23),4,2.8780487804878048,249
83,3,C(83;1;17;29),4,2.8780487804878048,249
83,3,C(83;1;17;38),4,2.8780487804878048,249
83,3,C(83;1;18;26),4,2.8780487804878048,249
83,3,C(83;1;19;30),4,2.8780487804878048,249
83,3,C(83;1;20;29),4,2.8780487804878048,249
83,3,C(83;1;20;36),4,2.8780487804878048,249
83,3,C(83;1;22;34),4,2.8780487804878048,249
83,3,C(83;1;29;35),4,2.8780487804878048,249
83,3,C(83;1;30;39),4,2.8780487804878048,249
83,3,C(83;1;31;39),4,2.8780487804878048,249
