N,K,S,diameter,averageShortestPathLength,edges
47,3,C(47;1;4;18),3,2.347826086956522,141
47,3,C(47;1;4;19),3,2.347826086956522,141
47,3,C(47;1;5;13),3,2.347826086956522,141
47,3,C(47;1;5;17),3,2.347826086956522,141
47,3,C(47;1;5;20),3,2.347826086956522,141
47,3,C(47;1;6;19),3,2.347826086956522,141
47,3,C(47;1;7;12),3,2.347826086956522,141
47,3,C(47;1;7;17),3,2.347826086956522,141
47,3,C(47;1;8;11),3,2.347826086956522,141
47,3,C(47;1;10;15),3,2.347826086956522,141
47,3,C(47;1;11;17),3,2.347826086956522,141
47,3,C(47;1;11;20),3,2.347826086956522,141
47,3,C(47;1;12;19),3,2.347826086956522,141
47,3,C(47;1;14;22),3,2.347826086956522,141
47,3,C(47;1;15;22),3,2.347826086956522,141
