N,K,S,diameter,averageShortestPathLength,edges
85,3,C(85;1;7;25),4,2.9047619047619047,255
85,3,C(85;1;7;37),4,2.9047619047619047,255
85,3,C(85;1;8;36),4,2.9047619047619047,255
85,3,C(85;1;9;23),4,2.9047619047619047,255
85,3,C(85;1;9;24),4,2.9047619047619047,255
85,3,C(85;1;9;30),4,2.9047619047619047,255
85,3,C(85;1;10;16),4,2.9047619047619047,255
85,3,C(85;1;10;26),4,2.9047619047619047,255
85,3,C(85;1;11;18),4,2.9047619047619047,255
85,3,C(85;1;11;27),4,2.9047619047619047,255
85,3,C(85;1;11;39),4,2.9047619047619047,255
85,3,C(85;1;12;19),4,2.9047619047619047,255
85,3,C(85;1;12;40),4,2.9047619047619047,255
85,3,C(85;1;13;22),4,2.9047619047619047,255
85,3,C(85;1;13;31),4,2.9047619047619047,255
85,3,C(85;1;16;40),4,2.9047619047619047,255
85,3,C(85;1;19;25),4,2.9047619047619047,255
85,3,C(85;1;19;31),4,2.9047619047619047,255
85,3,C(85;1;20;36),4,2.9047619047619047,255
85,3,C(85;1;23;33),4,2.9047619047619047,255
85,3,C(85;1;26;38),4,2.9047619047619047,255
85,3,C(85;1;31;37),4,2.9047619047619047,255
85,3,C(85;1;32;38),4,2.9047619047619047,255
