N,K,S,diameter,averageShortestPathLength,edges
45,3,C(45;1;4;13),3,2.3181818181818183,135
45,3,C(45;1;4;17),3,2.3181818181818183,135
45,3,C(45;1;5;12),3,2.3181818181818183,135
45,3,C(45;1;5;14),3,2.3181818181818183,135
45,3,C(45;1;5;16),3,2.3181818181818183,135
45,3,C(45;1;5;18),3,2.3181818181818183,135
45,3,C(45;1;5;19),3,2.3181818181818183,135
45,3,C(45;1;6;10),3,2.3181818181818183,135
45,3,C(45;1;7;11),3,2.3181818181818183,135
45,3,C(45;1;7;17),3,2.3181818181818183,135
45,3,C(45;1;8;11),3,2.3181818181818183,135
45,3,C(45;1;8;13),3,2.3181818181818183,135
45,3,C(45;1;10;14),3,2.3181818181818183,135
45,3,C(45;1;10;16),3,2.3181818181818183,135
45,3,C(45;1;14;20),3,2.3181818181818183,135
45,3,C(45;1;16;20),3,2.3181818181818183,135
