N,K,S,diameter,averageShortestPathLength,edges
737,3,C(737; 1; 21; 154),9,6.125,2211
737,3,C(737; 1; 23; 154),9,6.125,2211
737,3,C(737; 1; 32; 231),9,6.125,2211
737,3,C(737; 1; 56; 352),9,6.125,2211
737,3,C(737; 1; 66; 349),9,6.125,2211
737,3,C(737; 1; 74; 252),9,6.125,2211
737,3,C(737; 1; 99; 329),9,6.125,2211
737,3,C(737; 1; 103; 249),9,6.125,2211
737,3,C(737; 1; 110; 359),9,6.125,2211
737,3,C(737; 1; 133; 187),9,6.125,2211
737,3,C(737; 1; 155; 322),9,6.125,2211
737,3,C(737; 1; 253; 351),9,6.125,2211
