N,K,S,diameter,averageShortestPathLength,edges
196,3,C(196;1;10;85),6,3.8923076923076922,588
196,3,C(196;1;18;29),6,3.8923076923076922,588
196,3,C(196;1;19;92),6,3.8923076923076922,588
196,3,C(196;1;21;34),6,3.8923076923076922,588
196,3,C(196;1;27;94),6,3.8923076923076922,588
196,3,C(196;1;31;88),6,3.8923076923076922,588
196,3,C(196;1;46;83),6,3.8923076923076922,588
196,3,C(196;1;55;74),6,3.8923076923076922,588
196,3,C(196;1;57;94),6,3.8923076923076922,588
196,3,C(196;1;63;90),6,3.8923076923076922,588
