N,K,S,diameter,averageShortestPathLength,edges
44,3,C(44;1;4;17),3,2.3023255813953489,132
44,3,C(44;1;4;19),3,2.3023255813953489,132
44,3,C(44;1;5;12),3,2.3023255813953489,132
44,3,C(44;1;5;18),3,2.3023255813953489,132
44,3,C(44;1;6;10),3,2.3023255813953489,132
44,3,C(44;1;6;14),3,2.3023255813953489,132
44,3,C(44;1;7;16),3,2.3023255813953489,132
44,3,C(44;1;7;20),3,2.3023255813953489,132
44,3,C(44;1;8;13),3,2.3023255813953489,132
44,3,C(44;1;9;14),3,2.3023255813953489,132
44,3,C(44;1;9;20),3,2.3023255813953489,132
44,3,C(44;1;10;16),3,2.3023255813953489,132
44,3,C(44;1;12;17),3,2.3023255813953489,132
44,3,C(44;1;13;20),3,2.3023255813953489,132
44,3,C(44;1;14;20),3,2.3023255813953489,132
44,3,C(44;1;16;19),3,2.3023255813953489,132
