N,K,S,diameter,averageShortestPathLength,edges
99,3,C(99;1;7;37),4,3.0612244897959182,297
99,3,C(99;1;8;43),4,3.0612244897959182,297
99,3,C(99;1;9;23),4,3.0612244897959182,297
99,3,C(99;1;9;38),4,3.0612244897959182,297
99,3,C(99;1;9;43),4,3.0612244897959182,297
99,3,C(99;1;10;24),4,3.0612244897959182,297
99,3,C(99;1;10;42),4,3.0612244897959182,297
99,3,C(99;1;13;18),4,3.0612244897959182,297
99,3,C(99;1;13;45),4,3.0612244897959182,297
99,3,C(99;1;14;23),4,3.0612244897959182,297
99,3,C(99;1;27;38),4,3.0612244897959182,297
