N,K,S,diameter,averageShortestPathLength,edges
38,3,C(38;1;4;10),3,2.189189189189189,114
38,3,C(38;1;4;11),3,2.189189189189189,114
38,3,C(38;1;4;16),3,2.189189189189189,114
38,3,C(38;1;5;12),3,2.189189189189189,114
38,3,C(38;1;6;9),3,2.189189189189189,114
38,3,C(38;1;6;10),3,2.189189189189189,114
38,3,C(38;1;6;14),3,2.189189189189189,114
38,3,C(38;1;6;17),3,2.189189189189189,114
38,3,C(38;1;7;10),3,2.189189189189189,114
38,3,C(38;1;7;11),3,2.189189189189189,114
38,3,C(38;1;8;12),3,2.189189189189189,114
38,3,C(38;1;9;12),3,2.189189189189189,114
38,3,C(38;1;9;16),3,2.189189189189189,114
38,3,C(38;1;10;15),3,2.189189189189189,114
38,3,C(38;1;12;17),3,2.189189189189189,114
38,3,C(38;1;14;17),3,2.189189189189189,114
