N,K,S,diameter,averageShortestPathLength,edges
91,3,C(91;1;7;24),4,2.9777777777777779,273
91,3,C(91;1;9;22),4,2.9777777777777779,273
91,3,C(91;1;9;38),4,2.9777777777777779,273
91,3,C(91;1;10;16),4,2.9777777777777779,273
91,3,C(91;1;10;38),4,2.9777777777777779,273
91,3,C(91;1;12;17),4,2.9777777777777779,273
91,3,C(91;1;12;29),4,2.9777777777777779,273
91,3,C(91;1;16;40),4,2.9777777777777779,273
91,3,C(91;1;17;43),4,2.9777777777777779,273
91,3,C(91;1;19;42),4,2.9777777777777779,273
91,3,C(91;1;25;36),4,2.9777777777777779,273
91,3,C(91;1;26;35),4,2.9777777777777779,273
