N,K,S,diameter,averageShortestPathLength,edges
79,3,C(79;1;6;32),4,2.8205128205128207,237
79,3,C(79;1;7;25),4,2.8205128205128207,237
79,3,C(79;1;7;30),4,2.8205128205128207,237
79,3,C(79;1;7;34),4,2.8205128205128207,237
79,3,C(79;1;9;33),4,2.8205128205128207,237
79,3,C(79;1;12;29),4,2.8205128205128207,237
79,3,C(79;1;13;21),4,2.8205128205128207,237
79,3,C(79;1;15;37),4,2.8205128205128207,237
79,3,C(79;1;19;25),4,2.8205128205128207,237
79,3,C(79;1;19;34),4,2.8205128205128207,237
79,3,C(79;1;29;34),4,2.8205128205128207,237
79,3,C(79;1;30;35),4,2.8205128205128207,237
