N,K,S,diameter,averageShortestPathLength,edges
303,3,C(303;1;12;111),7,4.5231788079470201,909
303,3,C(303;1;14;89),7,4.5231788079470201,909
303,3,C(303;1;21;90),7,4.5231788079470201,909
303,3,C(303;1;21;112),7,4.5231788079470201,909
303,3,C(303;1;28;65),7,4.5231788079470201,909
303,3,C(303;1;39;125),7,4.5231788079470201,909
303,3,C(303;1;46;57),7,4.5231788079470201,909
303,3,C(303;1;80;90),7,4.5231788079470201,909
303,3,C(303;1;80;117),7,4.5231788079470201,909
303,3,C(303;1;81;125),7,4.5231788079470201,909
303,3,C(303;1;93;147),7,4.5231788079470201,909
303,3,C(303;1;119;143),7,4.5231788079470201,909
