N,K,S,diameter,averageShortestPathLength,edges
15,3,C(15;1;2;4),2,1.5714285714285714,45
15,3,C(15;1;2;5),2,1.5714285714285714,45
15,3,C(15;1;2;6),2,1.5714285714285714,45
15,3,C(15;1;2;7),2,1.5714285714285714,45
15,3,C(15;1;3;4),2,1.5714285714285714,45
15,3,C(15;1;3;5),2,1.5714285714285714,45
15,3,C(15;1;3;6),2,1.5714285714285714,45
15,3,C(15;1;3;7),2,1.5714285714285714,45
15,3,C(15;1;4;5),2,1.5714285714285714,45
15,3,C(15;1;4;6),2,1.5714285714285714,45
15,3,C(15;1;4;7),2,1.5714285714285714,45
15,3,C(15;1;5;6),2,1.5714285714285714,45
15,3,C(15;1;5;7),2,1.5714285714285714,45
