N,K,S,diameter,averageShortestPathLength,edges
82,3,C(82;1;7;26),4,2.8641975308641974,246
82,3,C(82;1;8;35),4,2.8641975308641974,246
82,3,C(82;1;9;22),4,2.8641975308641974,246
82,3,C(82;1;9;34),4,2.8641975308641974,246
82,3,C(82;1;10;16),4,2.8641975308641974,246
82,3,C(82;1;10;25),4,2.8641975308641974,246
82,3,C(82;1;10;38),4,2.8641975308641974,246
82,3,C(82;1;13;18),4,2.8641975308641974,246
82,3,C(82;1;14;19),4,2.8641975308641974,246
82,3,C(82;1;14;36),4,2.8641975308641974,246
82,3,C(82;1;16;23),4,2.8641975308641974,246
82,3,C(82;1;17;38),4,2.8641975308641974,246
82,3,C(82;1;22;32),4,2.8641975308641974,246
82,3,C(82;1;29;36),4,2.8641975308641974,246
82,3,C(82;1;30;36),4,2.8641975308641974,246
