N,K,S,diameter,averageShortestPathLength,edges
39,3,C(39;1;4;11),3,2.2105263157894739,117
39,3,C(39;1;4;14),3,2.2105263157894739,117
39,3,C(39;1;4;15),3,2.2105263157894739,117
39,3,C(39;1;5;12),3,2.2105263157894739,117
39,3,C(39;1;5;16),3,2.2105263157894739,117
39,3,C(39;1;5;18),3,2.2105263157894739,117
39,3,C(39;1;6;9),3,2.2105263157894739,117
39,3,C(39;1;6;10),3,2.2105263157894739,117
39,3,C(39;1;6;14),3,2.2105263157894739,117
39,3,C(39;1;7;10),3,2.2105263157894739,117
39,3,C(39;1;7;11),3,2.2105263157894739,117
39,3,C(39;1;7;12),3,2.2105263157894739,117
39,3,C(39;1;7;17),3,2.2105263157894739,117
39,3,C(39;1;8;11),3,2.2105263157894739,117
39,3,C(39;1;8;12),3,2.2105263157894739,117
39,3,C(39;1;8;18),3,2.2105263157894739,117
39,3,C(39;1;9;14),3,2.2105263157894739,117
39,3,C(39;1;10;16),3,2.2105263157894739,117
39,3,C(39;1;11;15),3,2.2105263157894739,117
39,3,C(39;1;12;18),3,2.2105263157894739,117
39,3,C(39;1;14;17),3,2.2105263157894739,117
