N,K,S,diameter,averageShortestPathLength,edges
323,3,C(323;1;13;139),7,4.6273291925465836,969
323,3,C(323;1;14;137),7,4.6273291925465836,969
323,3,C(323;1;15;142),7,4.6273291925465836,969
323,3,C(323;1;23;79),7,4.6273291925465836,969
323,3,C(323;1;31;43),7,4.6273291925465836,969
323,3,C(323;1;33;139),7,4.6273291925465836,969
323,3,C(323;1;35;134),7,4.6273291925465836,969
323,3,C(323;1;39;149),7,4.6273291925465836,969
323,3,C(323;1;58;79),7,4.6273291925465836,969
323,3,C(323;1;60;94),7,4.6273291925465836,969
323,3,C(323;1;70;120),7,4.6273291925465836,969
323,3,C(323;1;116;125),7,4.6273291925465836,969
