N,K,S,diameter,averageShortestPathLength,edges
529,5,C(529;1;19;71;79;192),5,3.4696969696969697,2645
529,5,C(529;1;20;192;201;226),5,3.4696969696969697,2645
529,5,C(529;1;28;36;163;213),5,3.4696969696969697,2645
529,5,C(529;1;32;167;205;219),5,3.4696969696969697,2645
529,5,C(529;1;42;133;149;186),5,3.4696969696969697,2645
529,5,C(529;1;50;58;78;191),5,3.4696969696969697,2645
529,5,C(529;1;55;135;156;172),5,3.4696969696969697,2645
529,5,C(529;1;56;154;175;248),5,3.4696969696969697,2645
529,5,C(529;1;63;80;85;135),5,3.4696969696969697,2645
529,5,C(529;1;170;202;228;238),5,3.4696969696969697,2645
