N,K,S,diameter,averageShortestPathLength,edges
473,5,C(473;1;6;40;96;221),5,3.3771186440677967,2365
473,5,C(473;1;10;88;141;169),5,3.3771186440677967,2365
473,5,C(473;1;14;82;140;187),5,3.3771186440677967,2365
473,5,C(473;1;15;26;99;134),5,3.3771186440677967,2365
473,5,C(473;1;16;42;79;151),5,3.3771186440677967,2365
473,5,C(473;1;16;165;194;204),5,3.3771186440677967,2365
473,5,C(473;1;20;36;168;215),5,3.3771186440677967,2365
473,5,C(473;1;20;86;92;121),5,3.3771186440677967,2365
473,5,C(473;1;22;54;91;104),5,3.3771186440677967,2365
473,5,C(473;1;24;84;123;234),5,3.3771186440677967,2365
473,5,C(473;1;31;83;107;203),5,3.3771186440677967,2365
473,5,C(473;1;34;86;124;183),5,3.3771186440677967,2365
473,5,C(473;1;36;99;215;226),5,3.3771186440677967,2365
473,5,C(473;1;39;180;202;207),5,3.3771186440677967,2365
473,5,C(473;1;41;97;201;213),5,3.3771186440677967,2365
473,5,C(473;1;43;71;77;90),5,3.3771186440677967,2365
473,5,C(473;1;46;60;141;209),5,3.3771186440677967,2365
473,5,C(473;1;47;99;131;207),5,3.3771186440677967,2365
473,5,C(473;1;50;57;125;219),5,3.3771186440677967,2365
473,5,C(473;1;52;86;92;153),5,3.3771186440677967,2365
473,5,C(473;1;54;128;138;233),5,3.3771186440677967,2365
473,5,C(473;1;61;85;95;140),5,3.3771186440677967,2365
473,5,C(473;1;63;72;88;219),5,3.3771186440677967,2365
473,5,C(473;1;65;187;211;217),5,3.3771186440677967,2365
473,5,C(473;1;71;103;129;191),5,3.3771186440677967,2365
473,5,C(473;1;75;94;104;165),5,3.3771186440677967,2365
473,5,C(473;1;113;122;150;214),5,3.3771186440677967,2365
473,5,C(473;1;125;142;156;198),5,3.3771186440677967,2365
473,5,C(473;1;143;161;194;217),5,3.3771186440677967,2365
