N,K,S,diameter,averageShortestPathLength,edges
666,5,C(666;1;15;124;145;193),5,3.6721804511278195,3330
666,5,C(666;1;19;43;225;296),5,3.6721804511278195,3330
666,5,C(666;1;31;77;148;315),5,3.6721804511278195,3330
666,5,C(666;1;34;131;152;311),5,3.6721804511278195,3330
666,5,C(666;1;35;117;173;296),5,3.6721804511278195,3330
666,5,C(666;1;51;108;119;195),5,3.6721804511278195,3330
666,5,C(666;1;52;61;76;323),5,3.6721804511278195,3330
666,5,C(666;1;69;271;304;311),5,3.6721804511278195,3330
666,5,C(666;1;128;227;233;274),5,3.6721804511278195,3330
666,5,C(666;1;180;267;285;319),5,3.6721804511278195,3330
666,5,C(666;1;227;245;256;321),5,3.6721804511278195,3330
