Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(294; 5, 18)";12;8,09556;588;2981477
"C(294; 6, 31)";12;8,09556;588;2981477
"C(294; 6, 67)";12;8,09556;588;2981477
"C(294; 11, 78)";12;8,09556;588;2981477
"C(294; 12, 13)";12;8,09556;588;2981477
"C(294; 12, 85)";12;8,09556;588;2981477
"C(294; 18, 103)";12;8,09556;588;2981477
"C(294; 19, 108)";12;8,09556;588;2981477
"C(294; 23, 24)";12;8,09556;588;2981477
"C(294; 24, 121)";12;8,09556;588;2981477
"C(294; 25, 90)";12;8,09556;588;2981477
"C(294; 29, 72)";12;8,09556;588;2981477
"C(294; 30, 41)";12;8,09556;588;2981477
"C(294; 30, 139)";12;8,09556;588;2981477
"C(294; 36, 59)";12;8,09556;588;2981477
"C(294; 36, 137)";12;8,09556;588;2981477
"C(294; 43, 96)";12;8,09556;588;2981477
"C(294; 47, 66)";12;8,09556;588;2981477
"C(294; 48, 95)";12;8,09556;588;2981477
"C(294; 48, 101)";12;8,09556;588;2981477
"C(294; 53, 132)";12;8,09556;588;2981477
"C(294; 54, 83)";12;8,09556;588;2981477
"C(294; 54, 113)";12;8,09556;588;2981477
"C(294; 55, 96)";12;8,09556;588;2981477
"C(294; 60, 65)";12;8,09556;588;2981477
"C(294; 60, 131)";12;8,09556;588;2981477
"C(294; 71, 138)";12;8,09556;588;2981477
"C(294; 72, 127)";12;8,09556;588;2981477
"C(294; 73, 90)";12;8,09556;588;2981477
"C(294; 79, 108)";12;8,09556;588;2981477
"C(294; 89, 144)";12;8,09556;588;2981477
"C(294; 97, 114)";12;8,09556;588;2981477
"C(294; 107, 144)";12;8,09556;588;2981477
"C(294; 115, 120)";12;8,09556;588;2981477
"C(294; 125, 138)";12;8,09556;588;2981477
"C(294; 132, 143)";12;8,09556;588;2981477
