Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(32; 2, 3, 8, 15)";2;1,74194;128;915576
"C(32; 3, 6, 7, 8)";2;1,74194;128;915576
"C(32; 4, 6, 7, 9)";2;1,74194;128;915576
"C(32; 4, 7, 9, 10)";2;1,74194;128;915576
"C(32; 5, 7, 8, 14)";2;1,74194;128;915576
"C(32; 6, 7, 10, 15)";2;1,74194;128;915576
"C(32; 6, 8, 9, 13)";2;1,74194;128;915576
"C(32; 6, 9, 10, 15)";2;1,74194;128;915576
"C(32; 8, 9, 11, 14)";2;1,74194;128;915576
"C(32; 8, 10, 11, 15)";2;1,74194;128;915576
