Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
РљРѕР»-РІРѕ РІРµСЂС€РёРЅ;РљРѕРЅС„РёРіСѓСЂР°С†РёСЏ РіСЂР°С„Р°;Р”РёР°РјРµС‚СЂ;РЎСЂРµРґРЅРёР№ РїСѓС‚СЊ;Р’СЂРµРјСЏ (РјСЃ);РљРѕР»-РІРѕ СЃРѕРµРґРёРЅРµРЅРёР№
836;C(836, 1, 15, 152, 249);6;4.631138;2512886;3344
836;C(836, 1, 39, 296, 368);6;4.631138;2512886;3344
836;C(836, 1, 47, 131, 380);6;4.631138;2512886;3344
836;C(836, 1, 50, 89, 333);6;4.631138;2512886;3344
836;C(836, 1, 56, 359, 383);6;4.631138;2512886;3344
836;C(836, 1, 145, 203, 336);6;4.631138;2512886;3344
836;C(836, 1, 154, 272, 320);6;4.631138;2512886;3344
836;C(836, 1, 183, 359, 394);6;4.631138;2512886;3344
836;C(836, 1, 201, 226, 263);6;4.631138;2512886;3344
836;C(836, 1, 223, 351, 380);6;4.631138;2512886;3344
836;C(836, 1, 256, 333, 369);6;4.631138;2512886;3344
