Сигнатура; Диаметр; Среднее расстояние; Время генерации; Кол-во соединений 
Signature; Diameter; Average distance; Generation time; Number of connections 
"C(58; 1, 4, 11, 17)";3;2,15789;232;12058377
"C(58; 1, 7, 11, 16)";3;2,15789;232;12058377
"C(58; 2, 5, 13, 14)";3;2,15789;232;12058377
"C(58; 3, 16, 20, 28)";3;2,15789;232;12058377
"C(58; 4, 6, 17, 22)";3;2,15789;232;12058377
"C(58; 4, 21, 22, 24)";3;2,15789;232;12058377
"C(58; 5, 7, 8, 27)";3;2,15789;232;12058377
"C(58; 5, 8, 9, 28)";3;2,15789;232;12058377
"C(58; 5, 9, 11, 12)";3;2,15789;232;12058377
"C(58; 5, 9, 17, 28)";3;2,15789;232;12058377
"C(58; 5, 9, 25, 26)";3;2,15789;232;12058377
"C(58; 6, 7, 10, 15)";3;2,15789;232;12058377
"C(58; 6, 8, 9, 13)";3;2,15789;232;12058377
"C(58; 6, 9, 13, 14)";3;2,15789;232;12058377
"C(58; 6, 9, 17, 19)";3;2,15789;232;12058377
"C(58; 6, 10, 11, 13)";3;2,15789;232;12058377
"C(58; 6, 11, 19, 21)";3;2,15789;232;12058377
"C(58; 7, 8, 11, 13)";3;2,15789;232;12058377
"C(58; 7, 9, 12, 13)";3;2,15789;232;12058377
"C(58; 7, 10, 12, 25)";3;2,15789;232;12058377
"C(58; 8, 9, 12, 14)";3;2,15789;232;12058377
"C(58; 8, 10, 11, 15)";3;2,15789;232;12058377
"C(58; 8, 10, 11, 17)";3;2,15789;232;12058377
"C(58; 8, 10, 13, 14)";3;2,15789;232;12058377
"C(58; 8, 10, 14, 23)";3;2,15789;232;12058377
"C(58; 8, 11, 13, 20)";3;2,15789;232;12058377
"C(58; 8, 15, 18, 19)";3;2,15789;232;12058377
"C(58; 9, 10, 13, 21)";3;2,15789;232;12058377
"C(58; 9, 10, 15, 22)";3;2,15789;232;12058377
"C(58; 9, 11, 12, 16)";3;2,15789;232;12058377
"C(58; 9, 13, 14, 25)";3;2,15789;232;12058377
"C(58; 9, 17, 21, 22)";3;2,15789;232;12058377
"C(58; 10, 12, 13, 27)";3;2,15789;232;12058377
"C(58; 11, 12, 14, 27)";3;2,15789;232;12058377
"C(58; 11, 12, 19, 21)";3;2,15789;232;12058377
"C(58; 11, 14, 20, 21)";3;2,15789;232;12058377
"C(58; 12, 14, 21, 27)";3;2,15789;232;12058377
"C(58; 12, 15, 20, 21)";3;2,15789;232;12058377
"C(58; 13, 14, 20, 23)";3;2,15789;232;12058377
"C(58; 13, 17, 20, 22)";3;2,15789;232;12058377
"C(58; 14, 17, 19, 23)";3;2,15789;232;12058377
"C(58; 14, 17, 19, 26)";3;2,15789;232;12058377
"C(58; 15, 16, 19, 25)";3;2,15789;232;12058377
"C(58; 15, 17, 22, 23)";3;2,15789;232;12058377
"C(58; 15, 18, 19, 26)";3;2,15789;232;12058377
"C(58; 15, 21, 23, 24)";3;2,15789;232;12058377
"C(58; 16, 17, 19, 27)";3;2,15789;232;12058377
"C(58; 16, 17, 20, 28)";3;2,15789;232;12058377
"C(58; 16, 18, 19, 27)";3;2,15789;232;12058377
"C(58; 16, 19, 24, 28)";3;2,15789;232;12058377
"C(58; 17, 18, 21, 26)";3;2,15789;232;12058377
"C(58; 17, 18, 21, 28)";3;2,15789;232;12058377
"C(58; 18, 19, 23, 25)";3;2,15789;232;12058377
"C(58; 18, 19, 23, 26)";3;2,15789;232;12058377
"C(58; 18, 19, 25, 28)";3;2,15789;232;12058377
"C(58; 19, 21, 22, 26)";3;2,15789;232;12058377
"C(58; 19, 21, 24, 25)";3;2,15789;232;12058377
"C(58; 19, 23, 24, 26)";3;2,15789;232;12058377
