N,K,S,diameter,averageShortestPathLength,edges
969,4,C(969; 1; 11; 104; 352),7,4.801652892561983,3876
969,4,C(969; 1; 21; 144; 239),7,4.801652892561983,3876
969,4,C(969; 1; 32; 88; 431),7,4.801652892561983,3876
969,4,C(969; 1; 65; 114; 251),7,4.801652892561983,3876
969,4,C(969; 1; 76; 141; 389),7,4.801652892561983,3876
969,4,C(969; 1; 81; 373; 417),7,4.801652892561983,3876
969,4,C(969; 1; 131; 166; 456),7,4.801652892561983,3876
969,4,C(969; 1; 164; 285; 466),7,4.801652892561983,3876
969,4,C(969; 1; 212; 245; 286),7,4.801652892561983,3876
969,4,C(969; 1; 227; 326; 382),7,4.801652892561983,3876
969,4,C(969; 1; 361; 416; 453),7,4.801652892561983,3876
