N,K,S,diameter,averageShortestPathLength,edges
502,4,C(502; 1; 11; 92; 220),6,4.021956087824352,2008
502,4,C(502; 1; 14; 147; 240),6,4.021956087824352,2008
502,4,C(502; 1; 20; 54; 137),6,4.021956087824352,2008
502,4,C(502; 1; 24; 181; 234),6,4.021956087824352,2008
502,4,C(502; 1; 28; 63; 199),6,4.021956087824352,2008
502,4,C(502; 1; 28; 78; 143),6,4.021956087824352,2008
502,4,C(502; 1; 35; 56; 192),6,4.021956087824352,2008
502,4,C(502; 1; 35; 96; 111),6,4.021956087824352,2008
502,4,C(502; 1; 43; 102; 224),6,4.021956087824352,2008
502,4,C(502; 1; 43; 112; 247),6,4.021956087824352,2008
502,4,C(502; 1; 71; 123; 222),6,4.021956087824352,2008
502,4,C(502; 1; 99; 110; 129),6,4.021956087824352,2008
502,4,C(502; 1; 102; 165; 182),6,4.021956087824352,2008
502,4,C(502; 1; 112; 151; 179),6,4.021956087824352,2008
