N,K,S,diameter,averageShortestPathLength,edges
217,4,C(217; 1; 8; 35; 47),4,3.185185185185185,868
217,4,C(217; 1; 8; 37; 92),4,3.185185185185185,868
217,4,C(217; 1; 11; 37; 93),4,3.185185185185185,868
217,4,C(217; 1; 12; 58; 63),4,3.185185185185185,868
217,4,C(217; 1; 12; 66; 106),4,3.185185185185185,868
217,4,C(217; 1; 13; 35; 94),4,3.185185185185185,868
217,4,C(217; 1; 14; 50; 74),4,3.185185185185185,868
217,4,C(217; 1; 17; 43; 82),4,3.185185185185185,868
217,4,C(217; 1; 18; 41; 49),4,3.185185185185185,868
217,4,C(217; 1; 18; 45; 103),4,3.185185185185185,868
217,4,C(217; 1; 20; 31; 56),4,3.185185185185185,868
217,4,C(217; 1; 23; 51; 59),4,3.185185185185185,868
217,4,C(217; 1; 27; 33; 77),4,3.185185185185185,868
217,4,C(217; 1; 27; 86; 97),4,3.185185185185185,868
217,4,C(217; 1; 28; 62; 75),4,3.185185185185185,868
217,4,C(217; 1; 30; 35; 44),4,3.185185185185185,868
217,4,C(217; 1; 31; 76; 84),4,3.185185185185185,868
217,4,C(217; 1; 31; 79; 102),4,3.185185185185185,868
217,4,C(217; 1; 31; 81; 98),4,3.185185185185185,868
217,4,C(217; 1; 32; 55; 102),4,3.185185185185185,868
217,4,C(217; 1; 46; 60; 70),4,3.185185185185185,868
217,4,C(217; 1; 53; 67; 88),4,3.185185185185185,868
217,4,C(217; 1; 55; 75; 100),4,3.185185185185185,868
217,4,C(217; 1; 61; 71; 100),4,3.185185185185185,868
217,4,C(217; 1; 62; 88; 100),4,3.185185185185185,868
217,4,C(217; 1; 68; 85; 92),4,3.185185185185185,868
217,4,C(217; 1; 70; 90; 101),4,3.185185185185185,868
217,4,C(217; 1; 71; 81; 102),4,3.185185185185185,868
