N,K,S,diameter,averageShortestPathLength,edges
1543,4,C(1543; 1; 17; 162; 560),8,5.4319066147859925,6172
1543,4,C(1543; 1; 106; 405; 747),8,5.4319066147859925,6172
1543,4,C(1543; 1; 111; 126; 531),8,5.4319066147859925,6172
1543,4,C(1543; 1; 113; 623; 642),8,5.4319066147859925,6172
1543,4,C(1543; 1; 131; 593; 648),8,5.4319066147859925,6172
1543,4,C(1543; 1; 139; 255; 541),8,5.4319066147859925,6172
1543,4,C(1543; 1; 172; 363; 396),8,5.4319066147859925,6172
1543,4,C(1543; 1; 213; 581; 619),8,5.4319066147859925,6172
