N,K,S,diameter,averageShortestPathLength,edges
1467,4,C(1467; 1; 28; 212; 546),8,5.365620736698499,5868
1467,4,C(1467; 1; 74; 281; 332),8,5.365620736698499,5868
1467,4,C(1467; 1; 74; 355; 619),8,5.365620736698499,5868
1467,4,C(1467; 1; 136; 355; 500),8,5.365620736698499,5868
1467,4,C(1467; 1; 173; 443; 570),8,5.365620736698499,5868
1467,4,C(1467; 1; 190; 578; 610),8,5.365620736698499,5868
1467,4,C(1467; 1; 202; 262; 714),8,5.365620736698499,5868
1467,4,C(1467; 1; 256; 281; 634),8,5.365620736698499,5868
1467,4,C(1467; 1; 289; 337; 659),8,5.365620736698499,5868
1467,4,C(1467; 1; 317; 410; 467),8,5.365620736698499,5868
1467,4,C(1467; 1; 337; 392; 658),8,5.365620736698499,5868
