N,K,S,diameter,averageShortestPathLength,edges
14,4,C(14; 1; 2; 3; 4),2,1.3846153846153846,56
14,4,C(14; 1; 2; 3; 5),2,1.3846153846153846,56
14,4,C(14; 1; 2; 3; 6),2,1.3846153846153846,56
14,4,C(14; 1; 2; 4; 5),2,1.3846153846153846,56
14,4,C(14; 1; 2; 4; 6),2,1.3846153846153846,56
14,4,C(14; 1; 2; 5; 6),2,1.3846153846153846,56
14,4,C(14; 1; 3; 4; 5),2,1.3846153846153846,56
14,4,C(14; 1; 3; 4; 6),2,1.3846153846153846,56
14,4,C(14; 1; 3; 5; 6),2,1.3846153846153846,56
14,4,C(14; 1; 4; 5; 6),2,1.3846153846153846,56
