N,K,S,diameter,averageShortestPathLength,edges
177,4,C(177; 1; 6; 32; 47),4,3,708
177,4,C(177; 1; 6; 34; 49),4,3,708
177,4,C(177; 1; 7; 30; 41),4,3,708
177,4,C(177; 1; 7; 30; 48),4,3,708
177,4,C(177; 1; 7; 33; 83),4,3,708
177,4,C(177; 1; 7; 43; 69),4,3,708
177,4,C(177; 1; 8; 29; 72),4,3,708
177,4,C(177; 1; 9; 22; 70),4,3,708
177,4,C(177; 1; 9; 33; 82),4,3,708
177,4,C(177; 1; 9; 38; 52),4,3,708
177,4,C(177; 1; 10; 25; 57),4,3,708
177,4,C(177; 1; 10; 37; 61),4,3,708
177,4,C(177; 1; 11; 29; 64),4,3,708
177,4,C(177; 1; 12; 53; 86),4,3,708
177,4,C(177; 1; 12; 65; 73),4,3,708
177,4,C(177; 1; 14; 20; 51),4,3,708
177,4,C(177; 1; 14; 47; 53),4,3,708
177,4,C(177; 1; 15; 20; 67),4,3,708
177,4,C(177; 1; 15; 41; 63),4,3,708
177,4,C(177; 1; 15; 65; 70),4,3,708
177,4,C(177; 1; 16; 38; 67),4,3,708
177,4,C(177; 1; 17; 24; 62),4,3,708
177,4,C(177; 1; 18; 32; 75),4,3,708
177,4,C(177; 1; 18; 43; 82),4,3,708
177,4,C(177; 1; 21; 26; 35),4,3,708
177,4,C(177; 1; 21; 30; 47),4,3,708
177,4,C(177; 1; 21; 69; 76),4,3,708
177,4,C(177; 1; 21; 70; 76),4,3,708
177,4,C(177; 1; 23; 41; 75),4,3,708
177,4,C(177; 1; 24; 30; 40),4,3,708
177,4,C(177; 1; 24; 32; 37),4,3,708
177,4,C(177; 1; 24; 56; 69),4,3,708
177,4,C(177; 1; 27; 49; 67),4,3,708
177,4,C(177; 1; 27; 64; 72),4,3,708
177,4,C(177; 1; 29; 66; 77),4,3,708
177,4,C(177; 1; 30; 64; 76),4,3,708
177,4,C(177; 1; 30; 78; 83),4,3,708
177,4,C(177; 1; 31; 36; 45),4,3,708
177,4,C(177; 1; 33; 43; 61),4,3,708
177,4,C(177; 1; 35; 66; 85),4,3,708
177,4,C(177; 1; 36; 51; 79),4,3,708
177,4,C(177; 1; 36; 65; 86),4,3,708
177,4,C(177; 1; 36; 79; 84),4,3,708
177,4,C(177; 1; 37; 43; 63),4,3,708
177,4,C(177; 1; 37; 49; 57),4,3,708
177,4,C(177; 1; 39; 51; 56),4,3,708
177,4,C(177; 1; 41; 51; 70),4,3,708
177,4,C(177; 1; 42; 72; 79),4,3,708
177,4,C(177; 1; 45; 61; 82),4,3,708
177,4,C(177; 1; 45; 62; 83),4,3,708
177,4,C(177; 1; 56; 69; 75),4,3,708
177,4,C(177; 1; 66; 76; 82),4,3,708
177,4,C(177; 1; 67; 75; 80),4,3,708
